original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,keywords,cast_size,crew_size,director
The Craft: Legacy,en,False,0,/lIE7kfdLBRd0KENNtOaIqPPWNqh.jpg,https://www.sonypictures.com/movies/blumhousesthecraftlegacy,590995,tt4685762,2459.249,/lhMIra0pqWNuD6CIXoTmGwZ0EBS.jpg,2020-10-28,0,94,Released,Let the ritual begin,The Craft: Legacy,False,6.2,173,"Horror,Drama,Fantasy,","Blumhouse Productions,Red Wagon Entertainment,Columbia Pictures,",The Craft Collection,"en,","US,",2,"witch,magic,",23,25,"Zoe Lister-Jones,"
Roald Dahl's The Witches,en,False,0,/8rIoyM6zYXJNjzGseT3MRusMPWl.jpg,https://www.thewitchesmovie.net/,531219,tt0805647,1868.653,/betExZlgK0l7CZ9CsCBVcwO1OjL.jpg,2020-10-26,0,106,Released,They're real!,Roald Dahl's The Witches,False,6.9,929,"Fantasy,Family,Adventure,Comedy,Horror,","ImageMovers,Warner Bros. Pictures,Double Dare You Productions,Esperanto Filmoj,The Jim Henson Company,Necropia Entertainment,",,"en,nl,","MX,US,",2,"hotel,witch,based on novel or book,mouse,transformation,based on children's book,evil,dark fantasy,rodent,talking animals,",36,253,"Robert Zemeckis,"
Honest Thief,en,False,0,/tYkMtYPNpUdLdzGDUTC5atyMh9X.jpg,,553604,tt1838556,992.936,/zeD4PabP6099gpE0STWJrJrCBCs.jpg,2020-09-03,24296809,98,Released,Never steal a man's second chance.,Honest Thief,False,7.2,196,"Action,Thriller,Crime,Drama,","The Solution,Briarcliff Entertainment,Dreadnought Films,Zero Gravity Management,Argonaut Entertainment Partners,Cutting Edge Group,Honest Thief Productions,Ingenious Media,J Cubed Film Finance,Samuel Marshall Productions,Sprockefeller Pictures,Mongkol Major,",,"en,","TH,US,",1,"bomb,bank robber,criminal past,divorce,fbi agent,",15,22,"Mark Williams,"
Tenet,en,False,205000000,/wzJRB4MKi3yK138bJyuL9nx47y6.jpg,https://www.tenetfilm.com/,577922,tt6723592,960.791,/k68nPLbIST6NP96JmTxmZijEvCA.jpg,2020-08-22,359900000,150,Released,Time runs out.,Tenet,False,7.4,2997,"Action,Thriller,Science Fiction,","Syncopy,Warner Bros. Pictures,",,"en,","GB,US,",8,"norway,fire engine,time,mumbai (bombay), india,arms dealer,espionage,crime scene,car chase,swat team,terrorist attack,kiev russia,spy thriller,tallinn,",45,231,"Christopher Nolan,"
Haunting of the Mary Celeste,en,False,0,/qtq1mai9POAX2IRGcxhVpf8f6Aj.jpg,https://www.hauntingofthemarycelestemovie.com/,756278,tt13192570,815.467,/csTraKglBdSeU9bLMaw9e20hEIN.jpg,2020-10-23,0,74,Released,Be careful what you look for,Haunting of the Mary Celeste,False,7.1,8,"Horror,","Featured Artists Agency,Vertical Entertainment,",,"en,","US,",0,,6,26,"Shana Betz,"
Hard Kill,en,False,0,/86L8wqGMDbwURPni2t7FQ0nDjsH.jpg,,724989,tt11656172,809.927,/ugZW8ocsrfgI95pnQ7wrmKDxIe.jpg,2020-10-23,0,98,Released,Take on a madman. Save the world.,Hard Kill,False,4.9,245,"Action,Thriller,","BondIt Media Capital,Buffalo 8 Productions,River Bay Films,SSS Entertainment,EFO Films,",,"en,","US,",0,,9,37,"Matt Eskandari,"
Battlefield 2025,en,False,0,/m7QpUAeI2xTCJyAVl9J9z5dBTSb.jpg,,722603,tt8134980,792.617,/w6e0XZreiyW4mGlLRHEG8ipff7b.jpg,2020-07-07,0,0,Released,Fighting for our survival.,Battlefield 2025,False,5.6,92,"Science Fiction,Horror,Action,",,,"en,","US,",0,,23,1,"Joseph Mbah,"
Bronx,fr,False,0,/gnf4Cb2rms69QbCnGFJyqwBWsxv.jpg,https://www.netflix.com/title/81115400,671039,tt10127684,725.106,/9HT9982bzgN5on1sLRmc1GMn6ZC.jpg,2020-10-30,0,116,Released,,Rogue City,False,5.9,291,"Thriller,Action,Drama,Crime,","Gaumont,",,"fr,","FR,",0,,25,9,"Olivier Marchal,"
Greenland,en,False,0,/2Fk3AB8E9dYIBc2ywJkxk8BTyhc.jpg,http://www.stxfilms.com/greenland/,524047,tt7737786,684.542,/bNo2mcvSwIvnx8K6y1euAc1TLVq.jpg,2020-07-29,47800000,120,Released,,Greenland,False,7.2,966,"Action,Thriller,","STX Entertainment,Thunder Road,Anton,G-BASE,Riverstone Pictures,Truenorth Productions,",,"en,","GB,US,",1,"husband wife relationship,kidnapping,panic,looting,state of emergency,comet,natural disaster,end of the world,meteorite,disaster,apocalypse,destruction of planet,diabetic,army base,emergency,greenland,atlanta, georgia,",24,33,"Ric Roman Waugh,"
반도,ko,False,17000000,/d2UxKyaJ5GgzuHaSsWinFfv3g6L.jpg,https://www.wellgousa.com/films/train-to-busan-presents-peninsula,581392,tt8850222,653.148,/sy6DvAu72kjoseZEjocnm2ZZ09i.jpg,2020-07-15,35878266,114,Released,Escape the apocalypse.,Peninsula,False,6.9,904,"Action,Horror,Thriller,","Next Entertainment World,RedPeter Film,Vantage Holdings,",Train to Busan Collection,"en,ko,","KR,",3,"dystopia,sequel,zombie,peninsula war,busan, south korea,",14,26,"Yeon Sang-ho,"
