original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,keywords,cast_size,crew_size,director
Jiu Jitsu,en,False,23000000,/jeAQdDX9nguP6YOX6QSWKDPkbBo.jpg,https://www.paramountmovies.com/movies/jiu-jitsu,590706,tt9624766,1802.147,/eLT8Cu357VOwBVTitkmlDEg32Fs.jpg,2020-11-20,74000000,102,Released,"From the darkness, the ultimate fighter rises.",Jiu Jitsu,False,5.7,161,"Action,Fantasy,Science Fiction,","Acme Rocket Fuel,Green Olive Films,",,"en,","CY,US,",0,"jiu-jitsu,",13,9,"Dimitri Logothetis,"
Wander,en,False,0,/wk58aoyWpMTVkKkdjw889XfWGdL.jpg,https://www.paramountmovies.com/movies/Wander,646593,tt9689696,1678.596,/2AwPvNHphpZBJDqjZKVuMAbvS0v.jpg,2020-12-04,0,94,Released,The conspiracy is real.,Wander,False,5.6,27,"Thriller,Crime,Mystery,","WANGO Films,Aloe Entertainment,Don Kee Productions,Falconer Pictures,Verdi Productions,Ironic Misnomer,",,"en,","CA,US,",0,"small town,new mexico,paranoia,murder,flashback,grief,conspiracy,car accident,violence,private detective,fbi agent,ptsd,",16,22,"April Mullen,"
Fatman,en,False,0,/ckfwfLkl0CkafTasoRw5FILhZAS.jpg,http://mammothent.com/fatman,602211,tt10310140,1290.474,/4n8QNNdk4BOX9Dslfbz5Dy6j1HK.jpg,2020-11-13,0,100,Released,'Tis the season to get even.,Fatman,False,5.9,173,"Action,Comedy,Fantasy,","Rough House Pictures,Fortitude International,Zed Filmworks,Sprockefeller Pictures,Mammoth Entertainment,Ingenious Media,RBL Studios,Windy Hill Pictures,",,"en,it,","CA,GB,US,",1,"santa claus,hitman,north pole,evil child,christmas,",30,102,"Ian Nelms,"
Wir Können Nicht Anders,de,False,0,/zMcEalkxEiRjvmijliLBk0sYern.jpg,http://www.netflix.com/title/81342028,765123,tt13446424,1259.798,/ajKpYK7XdzIYjy9Uy8nkgRboKyv.jpg,2020-12-04,0,105,Released,,Christmas Crossfire,False,5.2,21,"Comedy,Crime,Thriller,","DCM Pictures,Boje Buck Produktion,The Post Republic,ZDF,",,"en,it,de,","DE,",0,,25,16,"Detlev Buck,"
Chick Fight,en,False,0,/fTDzKoQIh1HeyjfpG5AHMi2jxAJ.jpg,,682377,tt10944486,960.088,/4ZocdxnOO6q2UbdKye2wgofLFhB.jpg,2020-11-13,0,97,Released,Hit like a girl.,Chick Fight,False,5.8,64,"Action,Comedy,",,,"en,",,0,,21,2,"Paul Leyden,"
The Dalton Gang,en,False,500000,/zKv7KF0pH9ASv2uGgTvTylMlxQn.jpg,,729648,tt11902980,959.676,/6OeGqp18oZucUGziMIRNhLouZ75.jpg,2020-11-02,0,0,Released,,The Dalton Gang,False,4.5,42,"Western,",,,"en,",,0,"western fantasy,",25,2,"Christopher Forbes,"
Godmothered,en,False,0,/2ltadt0HtHS8qD3xREVds3PDxkP.jpg,https://disneyplusoriginals.disney.com/movie/godmothered,662546,tt11681250,884.818,/ir8Qqi90mENhH7CDxEpdeCcm6UL.jpg,2020-12-04,0,113,Released,Be careful who you wish for.,Godmothered,False,7.2,184,"Family,Fantasy,Comedy,","Walt Disney Pictures,The Montecito Picture Company,Studio AKA,",,"de,en,","US,",0,"christmas,fairy godmother,",26,107,"Sharon Maguire,"
Angela's Christmas Wish,en,False,0,/eo6pahstCYRUm0Lk4MORmfCs2SH.jpg,https://www.netflix.com/title/81151926,752455,tt13260836,736.386,/eu747ko823mktL3ygo7ohdZznP7.jpg,2020-12-01,0,47,Released,,Angela's Christmas Wish,False,6.3,35,"Animation,","Brown Bag Films,",Angela's Christmas Collection,"en,","US,IE,",0,,1,3,"Damien O'Connor,"
Historias lamentables,es,False,0,/8e2j8EeJ1z2OCmbGmMaX6xg1u2w.jpg,https://www.amazon.com/dp/B08NWNX73Q,650747,tt11362866,582.781,/vijoU09NBYoQ5VpawXj2AfGOmCw.jpg,2020-11-19,0,129,Released,,Historias lamentables,False,6.8,65,"Comedy,","Películas Pendelton,Morena Films,TVE,Amazon Studios,",,"es,","ES,",0,"surreal,",7,8,"Javier Fesser,"
The Croods: A New Age,en,False,65000000,/cjaOSjsjV6cl3uXdJqimktT880L.jpg,https://www.dreamworks.com/movies/the-croods-2,529203,tt2850386,546.339,/tK1zy5BsCt1J4OzoDicXmr0UTFH.jpg,2020-11-25,35930000,95,Released,The future ain't what it used to be.,The Croods: A New Age,False,7.0,88,"Adventure,Fantasy,Family,Animation,","Universal Pictures,DreamWorks Animation,",The Croods Collection,"en,","US,",0,"sequel,prehistory,",12,12,"Joel Crawford,"
The Christmas Chronicles: Part Two,en,False,0,/cq4h43quHugpsSoy5VCtJeihu64.jpg,https://www.netflix.com/title/80988988,654028,tt11057644,543.977,/6sG0kbEvAi3RRLcGGU5h8l3qAPa.jpg,2020-11-18,0,115,Released,The battle to save Christmas is on.,The Christmas Chronicles: Part Two,False,6.9,294,"Family,Fantasy,Adventure,","1492 Pictures,",The Christmas Chronicles Collection,"en,","US,",3,"santa claus,sequel,christmas,",40,4,"Chris Columbus,"
Castle Freak,en,False,0,/1WDITmJAHz4rAnjVv1XYN4IfjKq.jpg,,593655,tt10701458,506.098,/HJEosQRIdBzAHEdZJCUF7e5FmF.jpg,2020-12-03,0,106,Released,Night has fallen,Castle Freak,False,4.4,7,"Horror,","Full Moon Entertainment,Zero Trans Fat Productions,Cinestate,Flexibon Films,Fangoria Films,The Fyzz,",,"en,","AL,US,",0,"monster,isolation,prisoner,trauma,castle,revenge,murder,tragedy,sexual violence,mansion,madness,psychological horror,disturbed child,framed for murder,",7,15,"Tate Steinsiek,"
Captain Underpants: Mega Blissmas,en,False,0,/650xHCrA3hlEXggrfPiVKhkAqmb.jpg,https://www.netflix.com/title/81021977,768509,tt13411948,484.826,/uiiM9DiRWLyXJfGCQe03CseURFo.jpg,2020-12-04,0,45,Released,,Captain Underpants: Mega Blissmas,False,7.0,1,"Animation,Family,Comedy,",,,"en,de,it,",,0,"christmas,",3,0,"Tate Steinsiek,"
Tudo Bem no Natal Que Vem,pt,False,0,/36xTkr5CxVGKqe55q6lxVa8LyK3.jpg,https://www.netflix.com/title/81160045,755339,tt13354204,466.564,/pv4e8yKGMJAaZihYPFUjYHsG8Ob.jpg,2020-12-03,0,101,Released,Imagine waking up and everyday is Christmas day.,Just Another Christmas,False,7.7,147,"Comedy,Family,","Camisa Listrada,",,"de,pt,es,","BR,",0,"christmas,",10,2,"Roberto Santucci,"
Before The Wrath,en,False,0,/othE4LT9rN2jbGXilXmCdnamtex.jpg,http://www.beforethewrath.com/,683535,,459.997,/onyAHZfK4ifKaLWthgqFrpNRoqZ.jpg,2020-11-26,0,84,Released,,Before The Wrath,False,5.7,14,,"Ingenuity Films,",,,,0,,2,1,"Brent Miller Jr.,"
