original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,keywords,cast_size,crew_size,director
Wonder Woman,en,False,149000000,/6iUNJZymJBMXXriQyFZfLAKnjO6.jpg,http://www.warnerbros.com/wonder-woman,297762,tt0451279,183.238,/gfJGlDaHuWimErCr5Ql0I8x9QSy.jpg,2017-05-30,821847012,141,Released,Power. Grace. Wisdom. Wonder.,Wonder Woman,False,7.3,15524,"Action,Adventure,Fantasy,","Warner Bros. Pictures,Atlas Entertainment,Cruel & Unusual Films,DC Entertainment,Dune Entertainment,Tencent Pictures,Wanda Pictures,",Wonder Woman Collection,"de,en,","CN,HK,US,",7,"dc comics,hero,greek mythology,island,feminism,empowerment,world war i,strong woman,superhero,based on comic,female protagonist,period drama,super power,heroine,woman director,female empowerment,1910s,dc extended universe,",76,205,"Patty Jenkins,"
After Porn Ends 2,en,False,500000,/uO6ZUez70Twan92pqoV60T9kiGH.jpg,https://www.afterpornends2.com/,440249,tt5168832,146.657,/rfItXrtDGILwsCdmgVxX79phFuI.jpg,2017-03-28,0,90,Released,WHAT COMES NEXT?,After Porn Ends 2,False,5.1,131,"Documentary,","Karbonshark,WeBros Entertainment,",After Porn Ends Collection,"en,","US,",0,"porn actress,",11,18,"Bryce Wagoner,"
The Fate of the Furious,en,False,250000000,/jzdnhRhG0dsuYorwvSqPqqnM1cV.jpg,http://www.fastandfurious.com/,337339,tt4630562,80.261,/dImWM7GJqryWJO9LHa3XQ8DD5NH.jpg,2017-04-12,1238764765,136,Released,Family no more,The Fate of the Furious,False,6.9,7818,"Action,Crime,Thriller,","Universal Pictures,Original Film,Fuji Eight Company Ltd.,China Film Co.,DENTSU,One Race,",The Fast and the Furious Collection,"en,es,","US,",4,"new york city,submarine,sequel,street race,betrayal,rescue mission,criminal mastermind,mysterious woman,",84,240,"F. Gary Gray,"
John Wick: Chapter 2,en,False,40000000,/fRLftkwv8jm3DLxXOf2NbngHjPB.jpg,http://www.johnwick.movie/,324552,tt4425200,87.0,/hXWBc0ioZP3cN4zCu6SN3YHXZVO.jpg,2017-02-08,171539887,122,Released,Never stab the devil in the back,John Wick: Chapter 2,False,7.2,8493,"Thriller,Action,Crime,","Thunder Road,87Eleven,Lionsgate,",John Wick Collection,"en,it,","US,",5,"italy,gun,roof,party,sequel,handshake,",65,202,"Chad Stahelski,"
Logan,en,False,97000000,/yEv8c6i79vk06sZDC3Z9D8HQLVV.jpg,http://www.foxmovies.com/movies/logan,263115,tt3315342,59.418,/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg,2017-02-28,619021436,137,Released,His time has come,Logan,False,7.8,15061,"Action,Drama,Science Fiction,","20th Century Fox,Marvel Entertainment,TSG Entertainment,Kinberg Genre,Hutch Parker Entertainment,The Donners' Company,",The Wolverine Collection,"en,es,","US,",8,"cyborg,experiment,self-destruction,mutant,future,dystopia,immortality,sequel,superhero,based on comic,super power,neo-western,troubled past,life on the margin,x-men,",91,244,"James Mangold,"
Guardians of the Galaxy Vol. 2,en,False,200000000,/aJn9XeesqsrSLKcHfHP4u5985hn.jpg,http://marvel.com/movies/movie/221/guardians_of_the_galaxy_vol_2,283995,tt3896198,70.445,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,2017-04-19,863756051,137,Released,Obviously.,Guardians of the Galaxy Vol. 2,False,7.6,15761,"Action,Adventure,Comedy,Science Fiction,","Marvel Studios,",Guardians of the Galaxy Collection,"en,","US,",20,"sequel,superhero,based on comic,misfit,space,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,",62,140,"James Gunn,"
劇場版 FAIRY TAIL 『DRAGON CRY』,ja,False,0,/s1eUjN5hLpez9QoBK8t4rUoopgN.jpg,http://gaga.ne.jp/FT.DC,433422,tt6548966,52.85,/4CtvjdvuRj3iPlvtpvFomhTxjXR.jpg,2017-05-06,0,85,Released,,Fairy Tail: Dragon Cry,False,6.5,316,"Action,Adventure,Comedy,Fantasy,Animation,","GAGA,A-1 Pictures,Fairy Tale DC Production Committee for Theater Version,",Fairy Tail Movie Collection,"ja,","JP,",0,"fairy tale,shounen,anime,",29,7,"Tatsuma Minamikawa,"
Beauty and the Beast,en,False,160000000,/m3tdSyl11fhgXPDSEt3aBctTqGP.jpg,http://movies.disney.com/beauty-and-the-beast-2017,321612,tt2771200,56.001,/tWqifoYuwLETmmasnGHO7xBjEtt.jpg,2017-03-16,1263521126,129,Released,Be our guest.,Beauty and the Beast,False,7.0,13016,"Family,Fantasy,Romance,","Mandeville Films,Walt Disney Pictures,",,"en,fr,","US,",5,"france,magic,castle,fairy tale,musical,transformation,cartoon,remake,curse,creature,18th century,beast,live action and animation,live action remake,",139,119,"Bill Condon,"
The Shack,en,False,20000000,/un7pVnJC2el8YxdIOg6YrSmBTlO.jpg,http://www.theshack.movie,345938,tt2872518,50.081,/doAzav9kfdtsoSdw1MDFvjKq3J4.jpg,2017-03-03,92924405,132,Released,You're never as alone as you think.,The Shack,False,7.3,1322,"Drama,Fantasy,","Summit Entertainment,Netter Productions,",,"en,","US,",2,"loss of loved one,based on novel or book,guilt,death of daughter,family trip,christian film,christian,",29,59,"Stuart Hazeldine,"
Pirates of the Caribbean: Dead Men Tell No Tales,en,False,230000000,/7C921eWK06n12c1miRXnYoEu5Yv.jpg,http://pirates.disney.com/pirates-of-the-caribbean-dead-men-tell-no-tales,166426,tt1790809,54.494,/xbpSDU3p7YUGlu9Mr6Egg2Vweto.jpg,2017-05-23,794861794,129,Released,All pirates must die.,Pirates of the Caribbean: Dead Men Tell No Tales,False,6.6,8812,"Adventure,Action,Fantasy,Comedy,","Walt Disney Pictures,Jerry Bruckheimer Films,Infinitum Nihil,",Pirates of the Caribbean Collection,"en,","US,",2,"sea,ship,sequel,artifact,treasure map,pirate,period drama,monkey,swashbuckler,ghost,caribbean sea,trident,cướp biển,hải tặc,",68,186,"Espen Sandberg,"
