original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,keywords,cast_size,crew_size,director
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),en,False,75000000,/9xNOiv6DZZjH7ABoUUDP0ZynouU.jpg,http://www.birdsofpreymovie.net,495764,tt7713068,386.67,/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,2020-02-05,201858461,109,Released,Mind Over Mayhem,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),False,7.2,6458,"Action,Crime,Comedy,","DC Entertainment,LuckyChap Entertainment,Kroll & Co Entertainment,Warner Bros. Pictures,DC Comics,DC Films,Clubhouse Pictures,",,"en,","US,",13,"dc comics,based on comic,woman director,dc extended universe,the joker,batman,gotham city,",100,76,"Cathy Yan,"
Justice League Dark: Apokolips War,en,False,0,/sQkRiQo3nLrQYMXZodDjNUJKHZV.jpg,,618344,tt11079148,303.214,/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg,2020-05-05,0,90,Released,The war to end all wars.,Justice League Dark: Apokolips War,False,8.4,826,"Animation,Action,Adventure,Fantasy,Science Fiction,","Warner Bros. Animation,DC Entertainment,DC Comics,",Justice League Dark Collection,"en,","US,",1,"dc comics,superhero,",22,27,"Christina Sotta,"
Вторжение,ru,False,8819200,/sizHX5VbwlBihaathTQHVGk1jdi.jpg,,514207,tt8060328,272.316,/dqKqzcdhtJwOhjqe89RTURqILtl.jpg,2020-01-01,32104054,129,Released,,Invasion,False,6.9,449,"Science Fiction,","Cinema Fund,Art Pictures Studio,Vodorod Film Company,",Attraction Collection,"ru,","RU,",0,"russia,alien invasion,",10,17,"Fyodor Bondarchuk,"
Arthur & Merlin: Knights of Camelot,en,False,0,/sFLgXQGrSWxnjmPOpGKPApWNOUH.jpg,,635237,tt7052270,270.095,/chGTXsvn53XvEnvsJ9ZD9eiYKx9.jpg,2020-05-28,0,91,Released,463 AD. A nation in need of a legend.,Arthur & Merlin: Knights of Camelot,False,6.0,59,"History,Action,Adventure,","Dagger Films,Picture Perfect,",,"en,","GB,",0,"camelot,merlin,knight,king arthur,5th century,",22,8,"Giles Alderson,"
Bad Boys for Life,en,False,90000000,/upUy2QhMZEmtypPW3PdieKLAHxh.jpg,https://www.badboysforlife.movie/,38700,tt1502397,266.221,/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg,2020-01-15,419074646,124,Released,Ride together. Die together.,Bad Boys for Life,False,7.3,5655,"Thriller,Action,Crime,","Columbia Pictures,Platinum Dunes,2.0 Entertainment,Don Simpson/Jerry Bruckheimer Films,Overbrook Entertainment,",Bad Boys Collection,"en,es,","US,",4,"detective,police,sequel,police officer,police detective,buddy comedy,buddy film,action hero,",101,77,"Bilall Fallah,"
True History of the Kelly Gang,en,False,0,/6xIZ4GCZ5Dhjv8tYU88ZbZ4PwxQ.jpg,https://www.kellygang.film/,501395,tt4844140,266.094,/eVyESHnWiTY1el8DEWbYMVW3K5k.jpg,2020-01-09,0,124,Released,The British Empire branded them as outlaws. The oppressed called them heroes.,True History of the Kelly Gang,False,6.1,116,"Drama,Crime,","Screen Australia,Daybreak Pictures,Film Victoria,Porchlight Films,Romulus Films,Film4 Productions,",,"en,","AU,",3,"based on novel or book,biography,19th century,australian bush,bushranger,australian western,",20,59,"Justin Kurzel,"
Trolls World Tour,en,False,0,/qsxhnirlp7y4Ae9bd11oYJSX59j.jpg,https://www.dreamworks.com/movies/trolls-world-tour,446893,tt6587640,243.235,/7W0G3YECgDAfnuiHG91r8WqgIOe.jpg,2020-03-12,1946164,91,Released,,Trolls World Tour,False,7.5,1338,"Animation,Family,Comedy,Fantasy,Adventure,Music,","DreamWorks Animation,Universal Pictures,",The Trolls Collection,"en,","US,",1,"sequel,based on toy,",43,34,"Walt Dohrn,"
サイコパス 3 FIRST INSPECTOR,ja,False,0,/cFVgXPmF8UMGH67roYd4e3QaAHP.jpg,https://psycho-pass.com/,655431,tt11433874,237.272,/m2RzGRMbdMUcp8S3PYtlPpHa83g.jpg,2020-03-27,0,135,Released,,Psycho-Pass 3: First Inspector,False,7.5,15,"Science Fiction,Action,Crime,","Production I.G,",,"ja,","JP,",0,"detective,dystopia,police,conspiracy,cyberpunk,violence,criminal,seinen,anime,",21,5,"Naoyoshi Shiotani,"
Cuidado con lo que deseas,es,False,0,/2it7SlRcp5UE0G38nL6oLMuqcAx.jpg,,681429,tt12943128,232.529,/lG6Wx5tWOEHkOuexEvNYha3ofvM.jpg,2020-04-24,0,91,Released,Evil went hunting.,Be Careful What You Wish For,False,7.1,58,"Horror,",,,"es,","MX,",0,,4,2,"Agustín Oso Tapia,"
Яга. Кошмар тёмного леса,ru,False,0,/4br4B8C0SRIYcKHUgoaOlGo50MU.jpg,,575088,tt8006374,232.216,/8m5HTXzwewlfXhtZtLlLts53YTW.jpg,2020-02-27,0,113,Released,,Baba Yaga: Terror of the Dark Forest,False,6.6,67,"Horror,","QS Films,Non-Stop Productions,",,"ru,","RU,",0,,11,18,"Svyatoslav Podgaevsky,"
