original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,keywords,cast_size,crew_size,director
Zombieland: Double Tap,en,False,42000000,/jCCdt0e8Xe9ttvevD4S3TSMNdH.jpg,https://www.zombieland.com/,338967,tt1560220,531.794,/dtRbVsUb5O12WWO54SRpiMtHKC0.jpg,2019-10-09,122801777,99,Released,,Zombieland: Double Tap,False,7.0,3168,"Horror,Action,Comedy,","Pariah,Columbia Pictures,Sony Pictures,",Zombieland Collection,"en,","US,",3,"the white house,marriage proposal,elvis presley,sequel,gore,survival,spoof,zombie,aftercreditsstinger,graceland,minivan,rv,",49,53,"Ruben Fleischer,"
Joker,en,False,55000000,/n6bUvigpRFqSwmPp1m2YADdbRBc.jpg,http://www.jokermovie.net/,475557,tt7286456,451.189,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,2019-10-02,1074251311,122,Released,Put on a happy face.,Joker,False,8.2,15914,"Crime,Thriller,Drama,","Warner Bros. Pictures,Joint Effort,Village Roadshow Pictures,Bron Studios,Creative Wealth Media Finance,DC Entertainment,DC Films,",,"en,","CA,US,",11,"street gang,dc comics,dream,clown,villain,society,joker,based on comic,murder,criminal mastermind,mental illness,anarchy,clown makeup,subway train,tv host,1980s,mother son relationship,origin story,brutal violence,gotham city,",80,209,"Todd Phillips,"
Rambo: Last Blood,en,False,50000000,/spYx9XQFODuqEVoPpvaJI1ksAVt.jpg,https://rambo.movie,522938,tt1206885,385.455,/kTQ3J8oTTKofAVLYnds2cHUz9KO.jpg,2019-09-19,91490353,89,Released,Everyone has one more fight in them,Rambo: Last Blood,False,6.4,2316,"Action,Thriller,Drama,","Millennium Films,Balboa Productions,Templeton Media,Campbell Grobman Films,Dadi Film Group,",Rambo Collection,"en,es,","CN,US,",4,"post traumatic stress  disorder,arizona,human trafficking,sequel,father figure,last stand,horse ranch,mexican american border,revenge plot,mexican cartel,",51,146,"Adrian Grunberg,"
Annabelle Comes Home,en,False,30000000,/dBt0DoFfbhOI4ypUfRj1uTq623M.jpg,https://www.warnerbros.com/movies/annabelle-comes-home,521029,tt8350360,256.313,/qWsHMrbg9DsBY3bCMk9jyYCRVRs.jpg,2019-06-26,231252591,106,Released,Possess them all,Annabelle Comes Home,False,6.4,2092,"Horror,Thriller,Mystery,","Atomic Monster,The Safran Company,New Line Cinema,",Annabelle Collection,"en,","US,",3,"babysitter,supernatural,priest,doll,creepy doll,jump scare,possessed doll,supernatural power,the conjuring universe,",27,45,"Gary Dauberman,"
Maleficent: Mistress of Evil,en,False,185000000,/HmEXofYSc56wBHIqY6tJDroCSw.jpg,https://movies.disney.com/maleficent-mistress-of-evil,420809,tt4777008,198.942,/vloNTScJ3w7jwNwtNGoG8DbTThv.jpg,2019-10-16,491570967,118,Released,Go beyond the fairy tale,Maleficent: Mistress of Evil,False,7.4,3969,"Fantasy,Family,Adventure,","Walt Disney Pictures,Roth Films,",Maleficent Collection,"en,","US,",3,"magic,fairy,fairy tale,villain,sequel,phoenix (mythical bird),",82,83,"Joachim Rønning,"
Fast & Furious Presents: Hobbs & Shaw,en,False,200000000,/qAhedRxRYWZAgZ8O8pHIl6QHdD7.jpg,https://www.hobbsandshawmovie.com,384018,tt6806448,195.591,/qRyy2UmjC5ur9bDi3kpNNRCc5nc.jpg,2019-08-01,760098996,137,Released,,Fast & Furious Presents: Hobbs & Shaw,False,6.9,4407,"Action,Adventure,Comedy,","Chris Morgan Productions,Seven Bucks Productions,Universal Pictures,",Hobbs & Shaw Collection,"en,ru,sm,","US,",5,"london, england,biological weapon,secret organization,family clan,spin off,family reunion,buddy comedy,samoa,aftercreditsstinger,duringcreditsstinger,buddy movie,mother son relationship,father daughter relationship,brother sister relationship,",116,268,"David Leitch,"
Spider-Man: Far from Home,en,False,160000000,/5myQbDzw3l8K9yofUXRJ4UTVgam.jpg,https://www.marvel.com/movies/spider-man-far-from-home,429617,tt6320628,183.313,/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg,2019-06-28,1131927996,129,Released,It’s time to step up.,Spider-Man: Far from Home,False,7.5,8829,"Action,Adventure,Science Fiction,","Marvel Studios,Columbia Pictures,Pascal Pictures,Sony Pictures,Stereo D,",Spider-Man (Avengers) Collection,"cs,nl,en,de,it,","US,",10,"venice, italy,europe,prague, czech republic,illusion,enemy,school trip,sequel,superhero,based on comic,drone,destruction,city,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,tower of london,broek op langedijk, the netherlands,",168,190,"Jon Watts,"
Doom: Annihilation,en,False,0,/kNGW6f47HUk0hISjj1AvXoLNL3L.jpg,https://www.uphe.com/movies/doom-annihilation,520901,tt8328716,183.005,/oowcnpfbQq9qabM1G5lWrWe63UN.jpg,2019-09-30,0,97,Released,Your Mission: Don't Die.,Doom: Annihilation,False,4.8,210,"Action,Science Fiction,Horror,Mystery,","Universal 1440 Entertainment,Di Bonaventura Pictures,John Wells Productions,Battle Mountain Films,",Doom Collection,"es,en,","US,",2,"planet mars,hell,space,demon,based on video game,reboot,",19,53,"Tony Giglio,"
この素晴らしい世界に祝福を！紅伝説,ja,False,0,/m5HPKCi7GdhKmxPTcOQmcLfEmZ9.jpg,http://konosuba.com/,532067,tt9239552,179.706,/j73LuQcA21KvkVFcroWWMN8tTJv.jpg,2019-08-30,0,90,Released,We will definitely return alive. Go back to that place.,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,False,8.5,194,"Adventure,Comedy,Animation,Fantasy,","J.C.Staff,",,"ja,","JP,",0,"magic,supernatural,parody,fantasy world,ecchi,based on light novel,anime,isekai,",18,8,"Takaomi Kanasaki,"
The Lion King,en,False,260000000,/nRXO2SnOA75OsWhNhXstHB8ZmI3.jpg,https://movies.disney.com/the-lion-king-2019,420818,tt6105098,166.982,/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,2019-07-12,1656943394,118,Released,The King has Returned.,The Lion King,False,7.2,7159,"Adventure,Family,Music,","Walt Disney Pictures,Fairview Entertainment,",The Lion King (Reboot) Collection,"en,","US,",4,"africa,lion,prince,musical,uncle,remake,grief,computer-generated imagery,redemption,king,family,imax,sidekick,live action and animation,father son relationship,live action remake,",20,26,"Jon Favreau,"
