original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,keywords,cast_size,crew_size,director
The Grinch,en,False,75000000,/juc9wt7Eh2IarLL5S1yQ1a21O1A.jpg,https://www.grinchmovie.com,360920,tt2709692,254.989,/stAu0oF6dYDhV5ssbmFUYkQPtCP.jpg,2018-11-08,508575295,90,Released,Scheme big.,The Grinch,False,6.8,2311,"Animation,Family,Comedy,Fantasy,","Universal Pictures,Illumination Entertainment,Perfect World Pictures,",,"de,","US,",3,"remake,surrealism,dr. seuss,computer-generated imagery,based on children's book,christmas,",42,33,"Yarrow Cheney,"
Spider-Man: Into the Spider-Verse,en,False,90000000,/aUVCJ0HkcJIBrTJYPnTXta8h9Co.jpg,http://www.intothespiderverse.movie,324857,tt4633694,156.261,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,2018-12-06,375540831,117,Released,More Than One Wears the Mask,Spider-Man: Into the Spider-Verse,False,8.4,8560,"Action,Adventure,Animation,Science Fiction,Comedy,","Sony Pictures,Columbia Pictures,Marvel Entertainment,Avi Arad Productions,Lord Miller,Pascal Pictures,Sony Pictures Animation,",Spider-Man: Spider-Verse Collection,"en,es,","US,",48,"superhero,based on comic,aftercreditsstinger,alternate universe,",74,189,"Bob Persichetti,"
Aquaman,en,False,160000000,/9QusGjxcYvfPD1THg6oW3RLeNn7.jpg,http://www.aquamanmovie.com,297802,tt1477834,117.278,/5Kg76ldv7VxeX9YlcQXiowHgdX6.jpg,2018-12-07,1148461807,144,Released,Home Is Calling,Aquaman,False,6.9,9687,"Action,Adventure,Fantasy,","DC Comics,DC Entertainment,Warner Bros. Pictures,The Safran Company,Rodeo FX,Panoramic Pictures,DC Films,Cruel & Unusual Films,",Aquaman Collection,"en,","AU,US,",7,"dc comics,hero,atlantis,half-brother,superhero,based on comic,royalty,shark,duringcreditsstinger,dc extended universe,",52,498,"James Wan,"
Ralph Breaks the Internet,en,False,175000000,/88poTBTafMXaz73vYi3c74g0y2k.jpg,https://movies.disney.com/ralph-breaks-the-internet-wreck-it-ralph-2,404368,tt5848272,115.541,/qEnH5meR381iMpmCumAIMswcQw2.jpg,2018-11-20,529221154,112,Released,Who broke the internet?,Ralph Breaks the Internet,False,7.2,5156,"Family,Animation,Comedy,Adventure,","Walt Disney Pictures,Walt Disney Animation Studios,",Wreck-It Ralph Collection,"en,","US,",3,"video game,cartoon,sequel,internet,lethal virus,aftercreditsstinger,duringcreditsstinger,online gaming,disney princess,",86,45,"Phil Johnston,"
The Christmas Chronicles,en,False,0,/brENMyyhk13WLzKHBK20rBKx0u7.jpg,https://www.netflix.com/title/80199682,527435,tt2990140,75.256,/5Il2EMSF2KecrUKZPuen6BZmaCP.jpg,2018-11-22,0,104,Released,Santa's in town early this year,The Christmas Chronicles,False,7.1,1273,"Comedy,Adventure,Family,Fantasy,","1492 Pictures,Madhouse Entertainment,Ocean Blue Entertainment,",The Christmas Chronicles Collection,"en,","US,",2,"massachusetts,camera,santa claus,brother,sister,children,north pole,journey,christmas spirit,christmas,chronicles,",38,27,"Clay Kaytis,"
Bumblebee,en,False,135000000,/hMANgfPHR1tRObNp2oPiOi9mMlz.jpg,http://bumblebeemovie.com,424783,tt4701182,73.517,/fw02ONlDhrYjTSZV8XO6hhU3ds3.jpg,2018-12-15,467989645,114,Released,Every Hero Has a Beginning,Bumblebee,False,6.7,4093,"Action,Adventure,Science Fiction,","Hasbro,Paramount,Allspark Pictures,Bay Films,Di Bonaventura Pictures,Tencent Pictures,Tom DeSanto/Don Murphy Production,",Transformers Collection,"en,","US,",2,"technology,based on toy,transformers,robot,spin off,1980s,autobot,",52,49,"Travis Knight,"
Creed II,en,False,50000000,/9il7qNbeYnPMYlutsVYDsj4hRyb.jpg,http://creedthemovie.com,480530,tt6343314,64.319,/v3QyboWRoA4O9RbcsqH8tJMe8EB.jpg,2018-11-21,214215889,130,Released,There's More to Lose than a Title,Creed II,False,6.9,3473,"Drama,","Metro-Goldwyn-Mayer,Warner Bros. Pictures,New Line Cinema,Winkler Films,",Creed Collection,"en,ru,","US,",2,"sports,sequel,los angeles, california,boxing,box ring,ukraine,",43,151,"Steven Caple Jr.,"
Fantastic Beasts: The Crimes of Grindelwald,en,False,200000000,/qrtRKRzoNkf5vemO9tJ2Y4DrHxQ.jpg,http://www.fantasticbeasts.com,338952,tt4123430,62.402,/fMMrl8fD9gRCFJvsx0SuFwkEOop.jpg,2018-11-14,653355901,134,Released,Fate of One. Future of All.,Fantastic Beasts: The Crimes of Grindelwald,False,6.9,7559,"Adventure,Fantasy,Drama,","Warner Bros. Pictures,Heyday Films,",Fantastic Beasts Collection,"en,fr,","GB,US,",5,"paris, france,new york city,witch,world war ii,sequel,old flame,wizard,1920s,harry potter,",84,38,"David Yates,"
Mortal Engines,en,False,100000000,/rm2oMykm5nX6SzXFr7TGHkO6r8Z.jpg,http://www.mortalengines.com,428078,tt1571234,61.259,/gLhYg9NIvIPKVRTtvzCWnp1qJWG.jpg,2018-11-27,83672673,129,Released,Some scars never heal,Mortal Engines,False,6.1,3114,"Adventure,Fantasy,","Scholastic Productions,Silvertongue Films,Universal Pictures,WingNut Films,MRC,",,"en,","NZ,US,",3,"based on novel or book,post-apocalyptic future,dystopia,revenge,steampunk,wasteland,futuristic vehicle,based on young adult novel,",55,54,"Christian Rivers,"
D-Railed,en,False,0,/fdQ5tWLCpbfz3zj3dq1nORih8Pq.jpg,,551238,tt8318702,57.343,/24GnXIwhkK95Kdz0KkTWeepA6El.jpg,2018-12-01,0,90,Released,Full scream ahead,D-Railed,False,5.4,52,"Action,Adventure,Horror,","Suzanne DeLaurentiis Productions,",,"en,","US,",0,"halloween,train crash,murder mystery,",7,5,"Dale Fabrigar,"
