original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,keywords,cast_size,crew_size,director
Justice League,en,FALSE,300000000,/jorgjEk6a0bed6jdR5wu4S6ZvRm.jpg,http://www.justiceleaguethemovie.com,141052,tt0974015,111.659,/eifGNCSDuxJeS1loAXil5bIGgvC.jpg,11/15/2017,657924295,120,Released,,Justice League,FALSE,6.2,9883,"Action,Adventure,Fantasy,Science Fiction,","DC Comics,DC Entertainment,RatPac-Dune Entertainment,Cruel & Unusual Films,Atlas Entertainment,Lensbern Productions,Dune Entertainment,Warner Bros. Pictures,DC Films,The Canadian Film or Video Production Tax Credit (CPTC),",,"en,","GB,CA,US,",26,"dc comics,superhero,based on comic,super power,superhero team,aftercreditsstinger,duringcreditsstinger,dc extended universe,",102,430,"Zack Snyder,"
Star Wars: The Last Jedi,en,FALSE,200000000,/5Iw7zQTHVRBOYpA0V6z0yypOPZh.jpg,https://www.starwars.com/films/star-wars-episode-viii-the-last-jedi,181808,tt2527336,95.911,/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg,12/13/2017,1332539889,152,Released,Darkness rises... and light to meet it,Star Wars: The Last Jedi,FALSE,6.9,11323,"Science Fiction,Action,Adventure,","Lucasfilm Ltd.,",Star Wars Collection,"en,","US,",11,"bunker,space battle,failure,defeat,sequel,imax,space opera,stormtrooper,military operation,",113,184,"Rian Johnson,"
Ferdinand,en,FALSE,111000000,/sTOhZruocNubL0HxjvdouwCEL9I.jpg,https://www.foxmovies.com/movies/ferdinand,364689,tt3411444,73.521,/rMm94JsRfcOPiPVsTRcBiiVBOhz.jpg,12/9/2017,295038508,107,Released,Built To Fight. Born To Love,Ferdinand,FALSE,7.2,2018,"Animation,Family,Adventure,Comedy,","Blue Sky Studios,20th Century Fox Animation,Davis Entertainment,20th Century Fox,",,"en,","ES,US,",0,"spain,madrid, spain,europe,friendship,remake,anthropomorphism,bull,based on children's book,capture,adaptation,",50,145,"Carlos Saldanha,"
Jumanji: Welcome to the Jungle,en,FALSE,90000000,/rz3TAyd5kmiJmozp3GUbYeB5Kep.jpg,https://www.sonypictures.com/movies/jumanjiwelcometothejungle,353486,tt2283362,55.663,/22hqf97LadMvkd4zDi3Bq25xSqD.jpg,12/9/2017,962102237,119,Released,The game has evolved.,Jumanji: Welcome to the Jungle,FALSE,6.8,10049,"Action,Adventure,Comedy,Fantasy,","Radar Pictures,Matt Tolmach Productions,Seven Bucks Productions,Columbia Pictures,Sony Pictures,",Jumanji Collection,"en,","US,",5,"video game,sequel,jungle,game,explorer,action hero,zoologist,based on young adult novel,",63,31,"Jake Kasdan,"
Wonder,en,FALSE,20000000,/b7xQ5fuyVO4c24igizCfPgF6n7q.jpg,http://www.wonder.movie,406997,tt2543472,47.371,/ouYgAatYH4JzIThj6FI3UYf31RI.jpg,11/13/2017,305937718,113,Released,Auggie Pullman will change your world.,Wonder,FALSE,8.2,5917,"Drama,Family,","Lionsgate,Participant Media,Walden Media,Mandeville Films,",,"en,","US,",0,"exclusion,bullying,coney island,prejudice,school,middle school,based on children's book,family,physical disability,treacher collins syndrome,",61,58,"Stephen Chbosky,"
The Star,en,FALSE,10000000,/gpVg9EA5tieNCxmPtx9KTbUKXrU.jpg,http://www.sonypicturesanimation.com/films.php?s=thestar,355547,tt4587656,44.684,/tEbDvivUfsCupngKIfMJJ725eAD.jpg,11/15/2017,0,86,Released,,The Star,FALSE,5.9,328,"Comedy,Adventure,Family,Fantasy,Animation,","Franklin Entertainment,Sony Pictures Animation,Columbia Pictures,The Jim Henson Company,Walden Media,Affirm Films,Sony Pictures,",,"en,","US,",0,"donkey,",41,4,"Timothy Reckart,"
Trolls Holiday,en,FALSE,0,/wACAzDetLg6HRaL98SJQ1sk4HTf.jpg,,484510,tt6645614,36.965,/ioEv9lRn2IXIu0Dbfo9Qyo2IKhD.jpg,11/1/2017,0,26,Released,Prepare to be merry and bright,Trolls Holiday,FALSE,6.7,338,"Adventure,Animation,Comedy,Family,TV Movie,Fantasy,Music,","NBC,DreamWorks Animation,",The Trolls Collection,"en,",,1,"short,",14,56,"Joel Crawford,"
신과함께-죄와 벌,ko,FALSE,18300000,/wyv2Y9vXYJwJzF6cNVuVwVOsOUj.jpg,,397567,tt7160070,40.53,/gJSvIsI6oQfFim0PGyuuiCYfqKs.jpg,12/14/2017,125983972,139,Released,Fate continues even after death,Along with the Gods: The Two Worlds,FALSE,8,331,"Drama,Fantasy,Action,","Lotte Entertainment,Dexter Studios,Realies Pictures,",Along with the Gods Collection,"ko,","KR,",0,"underworld,hell,afterlife,god,based on comic,trial,grim reaper,myth,",23,29,"Kim Yong-hwa,"
机器之血,zh,FALSE,65000000,/h3ir8VfpSEtoEBJjEarEludkjKL.jpg,,460648,tt5813366,28.518,/8qqPmQr0s2bZHPBMASpBXOKUZoi.jpg,12/18/2017,0,109,Released,,Bleeding Steel,FALSE,5.8,283,"Action,Science Fiction,Thriller,","Heyi Pictures Company,Sparkle Roll Media,",,"zh,en,it,","CN,HK,",1,"future,special forces,agent,criminal gang,",33,14,"Leo Zhang,"
Bright,en,FALSE,90000000,/b09HLFIifMNljI7NI9CJgm2gN1Y.jpg,https://www.netflix.com/title/80119234,400106,tt5519340,30.088,/whkT53Sv2vKAUiknQ13pqcWaPXB.jpg,12/22/2017,0,117,Released,,Bright,FALSE,6.2,4250,"Action,Fantasy,Thriller,","Clubhouse Pictures,Overbrook Entertainment,",Bright Collection,"es,en,","US,",4,"police,los angeles, california,orc,",60,27,"David Ayer,"
