original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,keywords,cast_size,crew_size,director
Avengers: Infinity War,en,False,300000000,/lmZFxXgJE3vgrciwuDib0N8CfQo.jpg,https://www.marvel.com/movies/avengers-infinity-war,299536,tt4154756,217.317,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,2018-04-25,2046239637,149,Released,An entire universe. Once and for all.,Avengers: Infinity War,False,8.3,20387,"Adventure,Action,Science Fiction,","Marvel Studios,",The Avengers Collection,"en,xh,","US,",29,"magic,sacrifice,superhero,based on comic,space,battlefield,genocide,magical object,super power,team,aftercreditsstinger,marvel cinematic universe,cosmic,",66,580,"Joe Russo,"
The Cloverfield Paradox,en,False,45000000,/lX4jScWnurasu6Kxuqo9819mjM2.jpg,https://www.netflix.com/title/80134431,384521,tt2548396,112.399,/dJe4s2h9hac0Fu3pQVV4OuWe8kU.jpg,2018-02-04,0,102,Released,The future unleashed every thing,The Cloverfield Paradox,False,5.6,2250,"Mystery,Thriller,Horror,Science Fiction,","Paramount,Bad Robot,",,"en,","US,",3,"experiment,disorientation,space,alien,scientist,space station,alternative universe,",15,95,"Julius Onah,"
Ready Player One,en,False,175000000,/q7fXcrDPJcf6t3rzutaNwTzuKP1.jpg,http://readyplayeronemovie.com,333339,tt1677720,128.198,/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg,2018-03-28,582890172,140,Released,A better reality awaits.,Ready Player One,False,7.6,10547,"Adventure,Science Fiction,","Amblin Entertainment,De Line Pictures,Warner Bros. Pictures,Dune Entertainment,Farah Films & Management,Reliance Entertainment,Village Roadshow Pictures,",,"en,","US,",7,"video game,based on novel or book,future,virtual reality,dystopia,nostalgia,love,evil corporation,quest,1980s,2040s,based on young adult novel,columbus, ohio,",81,387,"Steven Spielberg,"
Black Panther,en,False,200000000,/6ELJEzQJ3Y45HczvreC3dg0GV5R.jpg,https://marvel.com/movies/movie/224/black_panther,284054,tt1825683,93.577,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,2018-02-13,1346739107,134,Released,Long live the king.,Black Panther,False,7.4,16457,"Action,Adventure,Fantasy,Science Fiction,","Marvel Studios,Walt Disney Pictures,",,"en,ko,sw,xh,","US,",15,"africa,superhero,based on comic,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,",78,477,"Ryan Coogler,"
Deadpool 2,en,False,110000000,/3P52oz9HPQWxcwHOwxtyrVV1LKi.jpg,https://www.foxmovies.com/movies/deadpool-2,383498,tt5463162,93.794,/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,2018-05-10,741547413,119,Released,Prepare for the Second Coming.,Deadpool 2,False,7.5,12480,"Action,Comedy,Adventure,","Marvel Entertainment,20th Century Fox,Kinberg Genre,Maximum Effort,TSG Entertainment,",Deadpool Collection,"en,","US,",6,"hero,mutant,mercenary,sequel,superhero,based on comic,breaking the fourth wall,duringcreditsstinger,x-men,deadpool,",66,183,"David Leitch,"
Rampage,en,False,120000000,/wrqUiMXttHE4UBFMhLHlN601MZh.jpg,http://www.rampagethemovie.com,427641,tt2231461,81.83,/MGADip4thVSErP34FAAfzFBTZ5.jpg,2018-04-12,426245950,107,Released,Big meets bigger,Rampage,False,6.4,4836,"Action,Adventure,Science Fiction,","Wrigley Pictures,New Line Cinema,7 Bucks Entertainment,ASAP Entertainment,Flynn Picture Company,Twisted Media,",,"en,es,","US,",3,"gorilla,monster,wolf,mutation,lizard,giant lizard,based on video game,giant animal,mutant animal,kaiju,albino,giant,rat,genetic experiment,destroyed city,giant gorilla,animal monster,",69,180,"Brad Peyton,"
Solo: A Star Wars Story,en,False,250000000,/7LZ0K4FsALrt7OeNIGOVLNuKQRU.jpg,https://www.starwars.com/films/solo,348350,tt3778644,67.057,/4oD6VEccFkorEBTEDXtpLAaz0Rl.jpg,2018-05-15,392952373,135,Released,Never tell him the odds.,Solo: A Star Wars Story,False,6.6,5818,"Adventure,Science Fiction,","Lucasfilm Ltd.,Walt Disney Pictures,Allison Shearmur Productions,Imagine Entertainment,",,"en,","US,",8,"spacecraft,prequel,spin off,smuggler,space opera,",110,247,"Ron Howard,"
Fifty Shades Freed,en,False,55000000,/9ywA15OAiwjSTvg3cBs9B7kOCBF.jpg,http://www.fiftyshadesmovie.com,337167,tt4477536,64.431,/9ZedQHPQVveaIYmDSTazhT3y273.jpg,2018-01-17,368307760,105,Released,Don't Miss the Climax,Fifty Shades Freed,False,6.6,5744,"Drama,Romance,","Universal Pictures,Perfect World Pictures,",Fifty Shades Collection,"en,","US,",1,"based on novel or book,eroticism,sequel,bdsm,",40,116,"James Foley,"
Maze Runner: The Death Cure,en,False,62000000,/bvbyidkMaBls1LTaIWYY6UmYTaL.jpg,http://mazerunnermovies.com,336843,tt4500922,60.796,/2zYfzA3TBwrMC8tfFbpiTLODde0.jpg,2018-01-10,288175335,144,Released,The end will be WCKD,Maze Runner: The Death Cure,False,7.1,5308,"Action,Science Fiction,","Gotham Group,Temple Hill Entertainment,20th Century Fox,",The Maze Runner Collection,"en,","US,",2,"based on novel or book,fight,maze,imprisonment,post-apocalyptic future,terminal illness,shooting,sequel,murder,mad scientist,survival,trial,zombie,doctor,battle,vaccine,scientist,city,killer,desert,labyrinth,combat,illness,cure,zombie apocalypse,runner,universal cure,based on young adult novel,",35,197,"Wes Ball,"
Pacific Rim: Uprising,en,False,150000000,/oMaj75G2WFw66xI1TREg1hrToSg.jpg,http://pacificrimmovie.com,268896,tt2557478,57.78,/v5HlmJK9bdeHxN2QhaFP1ivjX3U.jpg,2018-03-21,290061297,111,Released,Rise Up,Pacific Rim: Uprising,False,6.1,3349,"Action,Fantasy,Science Fiction,Adventure,","Legendary Pictures,Double Dare You Productions,UpperRoom Productions,Universal Pictures,DENTSU,Clear Angle Studios,Double Negative (DNEG),Fuji Television Network,Perfect World Pictures,Twisted Media,",Pacific Rim Collection,"en,","CN,JP,GB,US,",4,"damage,army,sequel,alien,giant robot,giant monster,robot,kaiju,alien monster,teenage hero,robot suits,",31,365,"Steven S. DeKnight,"
The Kissing Booth,en,False,0,/wZLtIdehOlmhvkoNRXMkR1fmEXV.jpg,https://www.netflix.com/title/80143556,454983,tt3799232,56.993,/7Dktk2ST6aL8h9Oe5rpk903VLhx.jpg,2018-05-11,0,105,Released,"She can tell her best friend anything, except this one thing",The Kissing Booth,False,7.3,5630,"Romance,Comedy,","Komixx Entertainment,",The Kissing Booth Collection,"en,","GB,",0,"based on novel or book,secret,crush,los angeles, california,high school student,based on young adult novel,",32,18,"Vince Marcello,"
さよならの朝に約束の花をかざろう,ja,False,0,/yjfwNSDljAKsuHwwE34xjlY3tQj.jpg,http://sayoasa.jp,476292,tt7339826,59.352,/hL3NqRE2ccR4Y2sYSJTrmalRjrz.jpg,2018-02-24,0,115,Released,In a world where love is forbidden... they will find love.,Maquia: When the Promised Flower Blooms,False,8.4,299,"Animation,Fantasy,Romance,Drama,","Bandai Visual,Cygames Pictures,Hakuhodo DY Music & Pictures,Lantis,P.A.Works,",,"ja,","JP,",0,"family relationships,tragedy,coming of age,dragon,military,woman director,anime,high fantasy,josei,family life,time skip,",11,7,"Mari Okada,"
Braven,en,False,5000000,/oTXIEUqVqGTtdpaNEaC8cJwDtfs.jpg,https://www.highlandfilmgroup.com/sale/braven/,459910,tt5001754,70.713,/253Bw5I3Zj3e2thCThjO7byEUCL.jpg,2018-02-01,823471,94,Released,,Braven,False,6.2,645,"Drama,Action,Thriller,","Pride of Gypsies,Tinker Productions,Hassell Free Production,Highland Film Group,Narrative Capital,",,"en,","CA,",1,"cocaine,drug dealer,log cabin,",19,83,"Lin Oeding,"
Suicide Squad: Hell to Pay,en,False,0,/dCQufBk08xVYRethCBqXU7I4vYn.jpg,,487242,tt7167602,45.91,/7o0OQUf15v2m45gXluRUMTRC14h.jpg,2018-05-09,0,86,Released,"When the world needs the best, they call on the worst",Suicide Squad: Hell to Pay,False,7.1,321,"Action,Animation,Science Fiction,","DC Entertainment,Warner Bros. Animation,DC Comics,",,"en,es,","US,",1,"dc comics,based on comic,dc animated movie universe,",19,15,"Sam Liu,"
A Quiet Place,en,False,17000000,/roYyPiQDQKmIKUEhO912693tSja.jpg,http://aquietplacemovie.com,447332,tt6644200,44.721,/nAU74GmpUk7t5iklEp3bufwDq4n.jpg,2018-04-03,340677200,91,Released,"If they hear you, they hunt you.",A Quiet Place,False,7.3,9056,"Horror,Drama,Science Fiction,","Sunday Night,Platinum Dunes,Paramount,",A Quiet Place Collection,"en,","US,",6,"deaf,fireworks,pregnancy,post-apocalyptic future,alien life-form,child in peril,alien invasion,parenting,survival horror,psychological horror,human vs alien,sign languages,",10,177,"John Krasinski,"
Tomb Raider,en,False,94000000,/bLJTjfbZ1c5zSNiAvGYs1Uc82ir.jpg,http://www.tombraidermovie.com/,338970,tt1365519,34.656,/ePyN2nX9t8SOl70eRW47Q29zUFO.jpg,2018-03-05,274650803,118,Released,Her legend begins,Tomb Raider,False,6.3,5729,"Action,Adventure,Fantasy,","Square Enix,GK Films,Metro-Goldwyn-Mayer,Warner Bros. Pictures,",,"en,","GB,US,",5,"island,treasure hunt,remake,female protagonist,heiress,based on video game,bicycle courier,missing person,reboot,peril,slave labor,father daughter relationship,",36,274,"Roar Uthaug,"
