original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,keywords,cast_size,crew_size,director
シン・エヴァンゲリオン劇場版:||,ja,False,0,/cdav7lVUviYvQwKB2v73PpaJMFV.jpg,http://www.evangelion.co.jp/,283566,tt2458948,370.626,/q034rbTWteRNA8sMSc2YjegmiUx.jpg,2021-01-23,0,0,In Production,"Bye-bye, all of EVANGELION.",Evangelion: 3.0+1.0 Thrice Upon a Time,False,0.0,0,"Animation,Action,Drama,Science Fiction,","Studio Khara,The Klock Worx Co.,Toei Company,Toho Company, Ltd.,",Rebuild of Evangelion Collection,"ja,","JP,",0,"technology,dystopia,battle,cyber & mecha,anime,humanity under attack,",4,11,"Katsuichi Nakayama,"
Playhouse,en,False,0,/e1zdlboXWPtOgY5TgeEEhYhJ098.jpg,,728791,tt9449666,260.446,/cF4tZH8VQ6Lic3bi4WKwWDJODQf.jpg,2021-01-28,0,87,Released,Some stories should never be told,Playhouse,False,0.0,0,"Horror,Thriller,","Far North Film,",,"en,","GB,",0,"evil spirit,playwright,",9,4,"Toby Watts,"
Untitled Spider-Man 3,en,False,0,,,634649,tt10872600,57.778,/4dS40km5rcd4udAGJheU18ZeSfi.jpg,2021-12-16,0,0,In Production,,Untitled Spider-Man 3,False,0.0,0,"Action,Adventure,Science Fiction,","Sony Pictures,Marvel Studios,Pascal Pictures,Columbia Pictures,",Spider-Man (Avengers) Collection,"en,","US,",0,"hero,comic book,superhero,based on comic,marvel cinematic universe,",10,27,"Jon Watts,"
F9,en,False,0,/xXHZeb1yhJvnSHPzZDqee0zfMb6.jpg,https://www.thefastsaga.com/,385128,tt5433138,57.659,/qIicLxr7B7gIt5hxZxo423BJLlK.jpg,2021-05-26,0,145,Post Production,Justice is coming.,F9,False,0.0,0,"Action,Thriller,","Universal Pictures,Original Film,One Race,Perfect Storm Entertainment,Roth/Kirschenbaum Films,",The Fast and the Furious Collection,"en,","US,",0,"car,cinematic,",28,15,"Justin Lin,"
A Quiet Place Part II,en,False,0,/z2UtGA1WggESspi6KOXeo66lvLx.jpg,,520763,tt8332922,56.746,/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg,2021-04-21,0,97,Released,Silence is not enough.,A Quiet Place Part II,False,0.0,0,"Drama,Science Fiction,Thriller,","Platinum Dunes,Sunday Night,Paramount,",A Quiet Place Collection,"en,","US,",0,"deaf,post-apocalyptic future,alien life-form,alien,child in peril,psychological thriller,alien invasion,parenting,survival horror,alien monster,human vs alien,sign languages,alien attack,",25,15,"John Krasinski,"
The Boss Baby: Family Business,en,False,0,/aloEanVuvX8HJYs9mzSvl0cZNFi.jpg,https://www.dreamworks.com/movies/the-boss-baby-2,459151,tt6932874,56.56,/mI0zOznPUOYjObFq271k2IXLwOM.jpg,2021-03-18,0,0,Post Production,,The Boss Baby: Family Business,False,0.0,0,"Animation,Family,Comedy,Adventure,Fantasy,","DreamWorks Animation,",The Boss Baby Collection,"en,","US,",0,"baby,sequel,family,",9,14,"Tom McGrath,"
Let It Snow,en,False,0,/kJZI5tPWTVJrgmBCYMq8rkFP7Sk.jpg,,720395,tt11272898,51.414,/rAeQaySpt5iSdK8eWOpBnSB8mGQ.jpg,2021-01-15,0,86,Released,They were warned,Let It Snow,False,0.0,0,"Thriller,Horror,","Solar Media Entertainment,",,"en,","GE,UA,",1,,14,14,"Stanislav Kapralov,"
Free Guy,en,False,0,/xExfwYrStEGpcX8tCI4nTYjbVaN.jpg,https://www.20thcenturystudios.com/movies/free-guy,550988,tt6264654,48.167,/7BdpESY7uRi6BNOuj9nIhkLc775.jpg,2021-05-20,0,0,Post Production,The world needed a hero. They got a guy.,Free Guy,False,0.0,0,"Comedy,Action,Adventure,Science Fiction,","Berlanti Productions,21 Laps Entertainment,Maximum Effort,20th Century Studios,",,"en,","US,",0,"video game,",32,50,"Shawn Levy,"
Black Widow,en,False,200000000,/va57B6HQg0DHBYvT4Y9R4WPu4fn.jpg,https://www.marvel.com/movies/black-widow,497698,tt3480822,43.314,/uAUCHOYwFKQvSRZByP8rCgWKwT.jpg,2021-04-29,0,0,Post Production,She's Done Running From Her Past.,Black Widow,False,0.0,0,"Action,Drama,Adventure,Thriller,","Marvel Studios,Zak Productions,Cinesite,Clear Angle Studios,Digital Domain,Trixter Film,Industrial Light & Magic,Stereo D,",,"en,","US,",0,"spy,assassin,hero,russia,kgb,spying,comic book,superhero,based on comic,heroism,female assassin,dark hero,female spy,female hero,spy hero,marvel cinematic universe,woman director,sisterhood,action hero,heroes,female team,",57,228,"Cate Shortland,"
Venom: Let There Be Carnage,en,False,0,/aL1fZFP5vsh3bIZEOBh6UxxtHK3.jpg,,580489,tt7097896,37.274,/wi0w3uNtvHdMqPtOA6meuqn8y6r.jpg,2021-06-23,0,0,Post Production,,Venom: Let There Be Carnage,False,0.0,0,"Action,Science Fiction,","Marvel Entertainment,Pascal Pictures,Columbia Pictures,Sony Pictures,",Venom Collection,"en,","US,",0,"hero,villain,sequel,superhero,based on comic,symbiote,antihero,sony's marvel universe,",8,16,"Andy Serkis,"
The Suicide Squad,en,False,0,/6IJWF1pALrms8Ls9JRptVpwHXa2.jpg,https://www.thesuicidesquad.com,436969,tt6334354,33.781,/zUmzQd97LfnfY2dzd1C89GbLOKi.jpg,2021-08-04,0,0,Post Production,Boom.,The Suicide Squad,False,0.0,0,"Action,Adventure,Fantasy,Crime,","DC Entertainment,Warner Bros. Pictures,DC Films,The Stone Quarry,Atlas Entertainment,",Suicide Squad Collection,"en,","US,",0,"dc comics,dc extended universe,",25,22,"James Gunn,"
