original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,keywords,cast_size,crew_size,director
백두산,ko,False,0,/h9DIlghaiTxbQbt1FIwKNbQvEL.jpg,,581387,tt11285908,428.531,/zoeKREZ2IdAUnXISYCS0E6H5BVh.jpg,2019-12-19,0,128,Released,,Ashfall,False,6.8,140,"Action,Adventure,Thriller,","Dexter Studios,CJ Entertainment,Perfect Storm Film,Dexter Pictures,",,"en,ko,","KR,",0,"volcano,natural disaster,volcano erupting,",19,18,"Kim Byung-seo,"
僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,ja,False,0,/9guoVF7zayiiUq5ulKQpt375VIy.jpg,https://heroaca-movie.com,592350,tt11107074,322.645,/zGVbrulkupqpbwgiNedkJPyQum4.jpg,2019-12-20,29900850,104,Released,,My Hero Academia: Heroes Rising,False,8.5,514,"Animation,Action,Comedy,Fantasy,Adventure,","BONES,DENTSU,Movic,Nippon Television Network Corporation,Shueisha,Sony Music Entertainment (JP),Toho Company, Ltd.,Yomiuri-TV Enterprise,",My Hero Academia Collection,"ja,","JP,",0,"super power,shounen,anime,",43,5,"Kenji Nagasaki,"
Frozen II,en,False,150000000,/xJWPZIYOEFIjZpBL7SVBGnzRYXp.jpg,https://movies.disney.com/frozen-2,330457,tt4520988,245.477,/qXsndsv3WOoxszmdlvTWeY688eK.jpg,2019-11-20,1450026933,104,Released,The past is not what it seems.,Frozen II,False,7.3,6598,"Animation,Family,Adventure,Comedy,Fantasy,","Walt Disney Animation Studios,Walt Disney Pictures,",Frozen Collection,"en,","US,",7,"winter,queen,magic,castle,kingdom,princess,dam,spirit,personification,",64,38,"Jennifer Lee,"
Rogue Warfare: The Hunt,en,False,0,/uXsHEOPsMXsxQtrJ8MiDCXkHtUY.jpg,https://www.highlandfilmgroup.com/production/rogue-warfare-2/,635776,tt7983712,190.866,/hJRvrrBPSDV6PbE4xek3mUt2Cfq.jpg,2019-12-02,0,103,Released,,Rogue Warfare: The Hunt,False,5.2,33,"War,Action,","Highland Film Group,5150 Action,",Rogue Warfare Collection,"en,","US,",0,,8,2,"Mike Gunther,"
Star Wars: The Rise of Skywalker,en,False,250000000,/SPkEiZGxq5aHWQ2Zw7AITwSEo2.jpg,https://www.starwars.com/films/star-wars-episode-ix-the-rise-of-skywalker,181812,tt2527338,181.702,/db32LaOibwEliAmSL2jjDF6oDdj.jpg,2019-12-18,1074144248,142,Released,Every generation has a legend,Star Wars: The Rise of Skywalker,False,6.6,6018,"Action,Adventure,Science Fiction,","Lucasfilm Ltd.,Bad Robot,Walt Disney Pictures,British Film Commission,",Star Wars Collection,"en,","US,",14,"space opera,",114,348,"J.J. Abrams,"
Jumanji: The Next Level,en,False,125000000,/zTxHf9iIOCqRbxvl8W5QYKrsMLq.jpg,http://jumanjimovie.com,512200,tt7975244,179.857,/jyw8VKYEiM1UDzPB7NsisUgBeJ8.jpg,2019-12-04,796575993,123,Released,,Jumanji: The Next Level,False,7.0,5124,"Adventure,Comedy,Fantasy,","Columbia Pictures,Seven Bucks Productions,HartBeat Productions,Matt Tolmach Productions,Teitler Film,Sony Pictures,",Jumanji Collection,"en,","US,",4,"magic,teamwork,animal attack,body-swap,adventurer,superhuman strength,duringcreditsstinger,action hero,trapped in a game,",46,91,"Jake Kasdan,"
1917,en,False,100000000,/2lBOQK06tltt8SQaswgb8d657Mv.jpg,https://www.1917.movie/,530915,tt8579674,167.673,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,2019-12-25,374733942,119,Released,Time is the enemy,1917,False,7.9,7128,"War,Drama,Action,","Neal Street Productions,DreamWorks Pictures,New Republic Pictures,Amblin Partners,Universal Pictures,Moving Picture Company,Reliance Entertainment,Mogambo Films,The Canadian Film or Video Production Tax Credit (CPTC),",,"en,fr,de,","CA,IN,ES,GB,US,",13,"world war i,british army,race against time,soldier,trenches,1910s,trench warfare,collection,no man's land,",52,197,"Sam Mendes,"
Pinocchio,it,False,12400000,/AdqOBPw4PdtzOcfEuQuZ8MNeTKb.jpg,,413518,tt8333746,162.765,/4w1ItwCJCTtSi9nPfJC1vU6NIVg.jpg,2019-12-19,17133446,125,Released,The most beloved fairy tale comes to life,Pinocchio,False,6.7,809,"Fantasy,Family,Adventure,Drama,","Fonds Eurimages du Conseil de l'Europe,Archimede,Recorded Picture Company,Le Pacte,Rai Cinema,Ministero per i Beni e le Attività Culturali,01 Distribution,Apulia Film Commission,BPER Banca,Canal+,Ciné+,Direzione Generale Cinema,Lazio Cinema International,Lotus Production,Regione Lazio,Regione Puglia,Regione Toscana,Toscana Promozione,Unipol,",,"it,","GB,IT,FR,",1,"based on novel or book,based on children's book,",19,30,"Matteo Garrone,"
3022,en,False,0,/ailBwpIwzUcNpuKSHtSwyqXAYCe.jpg,,640882,tt9465600,144.227,/dp1brl24LXGFU3JPFaDoljDONRz.jpg,2019-11-22,0,90,Released,Mankind's last hope.,3022,False,5.8,100,"Science Fiction,",,,"en,",,0,,10,2,"John Suits,"
Away,en,False,0,/nLwJViZMXRUU0UgfYZz30UBpB0s.jpg,https://www.cinemamanagementgroup.com/film/away-2,597398,tt8288450,136.651,/c59eplVELdwrUfGBUAZVin3HfaL.jpg,2019-11-15,7200,75,Released,,Away,False,6.2,20,"Animation,Adventure,Fantasy,","Bilibaba,",,"xx,","LV,",1,"giant monster,motorcycle,struggle for survival,mysterious island,plane crash,",0,6,"Gints Zilbalodis,"
