original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,keywords,cast_size,crew_size,director
Blade Runner 2049,en,False,150000000,/sAtoMqDVhNDQBc3QJL3RF6hlhGq.jpg,http://bladerunnermovie.com/,335984,tt1856101,68.297,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,2017-10-04,259239658,164.0,Released,The key to the future is finally unearthed.,Blade Runner 2049,False,7.5,8991,"Science Fiction,Drama,","Torridon Films,16:14 Entertainment,Scott Free Productions,Columbia Pictures,Alcon Entertainment,Thunderbird Entertainment,Warner Bros. Pictures,",Blade Runner Collection,"en,fi,","CA,HU,ES,GB,US,",7,"artificial intelligence,bounty hunter,future,dystopia,genetics,sequel,cyberpunk,los angeles, california,las vegas,tech noir,",38,829,"Denis Villeneuve,"
東京喰種 トーキョーグール,ja,False,0,/1bjoIR8Yb3qDrflszNWlz9uo2JF.jpg,http://tokyoghoul.jp/,433945,tt5815944,56.971,/tMs8ZJ2dNJ0fExF7ISXJvOov4Y6.jpg,2017-07-16,0,119.0,Released,Humans are no longer at the top of the food chain,Tokyo Ghoul,False,7.1,223,"Action,Drama,Horror,Thriller,","Geek Sight,",Tokyo Ghoul Movie Collection,"ja,","JP,",0,"based on manga,",18,5,"Kentaro Hagiwara,"
Woody Woodpecker,en,False,10000000,/lkCDvf3QjXpAycm896oH1LRTK5X.jpg,,462883,tt2114504,62.19,/vFGUsJTa8z0OfDTbjdyppAireeB.jpg,2017-10-05,0,91.0,Released,,Woody Woodpecker,False,6.8,500,"Animation,Comedy,Family,","Universal Animation Studios,Universal Pictures,Universal 1440 Entertainment,",,"en,","BR,CA,US,",1,"bird,woodpecker,pica-pau,",19,22,"Alex Zamm,"
Call Me by Your Name,en,False,4000000,/hrMbAi9fPTmc6EtpyyAgDKznptu.jpg,http://sonyclassics.com/callmebyyourname/,398818,tt5726616,51.959,/tcNniniS4rfqrLH0oORikJfnIwY.jpg,2017-09-01,41063475,132.0,Released,Is it better to speak or die?,Call Me by Your Name,False,8.3,8298,"Romance,Drama,","La Cinéfacture,RT Features,Frenesy Film Company,Water's End Productions,M.Y.R.A. Entertainment,Memento Films International,Ministero per i Beni e le Attività Culturali,",Call Me by Your Name Collection,"fr,en,it,","FR,IT,US,",2,"italy,upper class,based on novel or book,swimming pool,love,coming of age,summer,teenage boy,masturbation,first love,lgbt,jewish family,1980s,peach,gay,",12,133,"Luca Guadagnino,"
Olaf's Frozen Adventure,en,False,0,/9K4QqQZg4TVXcxBGDiVY4Aey3Rn.jpg,,460793,tt5452780,46.949,/As8WTtxXs9e3cBit3ztTf7zoRmm.jpg,2017-10-27,0,22.0,Released,,Olaf's Frozen Adventure,False,6.3,1106,"Adventure,Animation,Comedy,Family,Fantasy,Music,","Walt Disney Pictures,",,"en,","US,",0,"cartoon,snowman,christmas,short,",50,82,"Stevie Wermers,"
The Emoji Movie,en,False,50000000,/kTrgxhRSj2sun89bDbnGCPBiey6.jpg,http://www.theemoji-movie.com/,378236,tt4877122,52.03,/f5pF4OYzh4wb1dYL2ARQNdqUsEZ.jpg,2017-07-23,216909830,86.0,Released,Not easy being meh,The Emoji Movie,False,5.6,2196,"Animation,Family,Comedy,","Columbia Pictures,Sony Pictures Animation,Sony Pictures,",,"en,","US,",1,"app,emoji,",57,48,"Tony Leondis,"
It,en,False,35000000,/tcheoA2nPATCm2vvXw2hVQoaEFD.jpg,http://itthemovie.com/,346364,tt1396484,52.016,/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg,2017-09-06,701796444,135.0,Released,Your fears are unleashed,It,False,7.2,14559,"Horror,","RatPac-Dune Entertainment,New Line Cinema,Vertigo Entertainment,Lin Pictures,KatzSmith Productions,Warner Bros. Pictures,",It Collection,"en,","US,",7,"based on novel or book,small town,clown,bullying,abandoned house,murder,flashback,balloon,maine,school,fear,summer,killer,missing person,death of brother,well,child,demonic,town history,",45,149,"Andy Muschietti,"
Rendel,fi,False,1686858,/8a8DKdrcBBWg5mYPObiRWDmx17x.jpg,http://rendelmovie.com/,397852,tt3881026,39.619,/orhhpigXfMUf0zkVFJkfGf2hxEF.jpg,2017-09-22,1891907,105.0,Released,Revenge begets revenge.,Rendel,False,5.4,139,"Fantasy,Action,Crime,","Frozen Flame Pictures,Bad Beaver Productions,Black Lion Pictures,Haaja & Arwo Design,",Rendel Collection,"fi,en,","FI,",0,"superhero,based on comic,masked vigilante,finland,",21,9,"Jesse Haaja,"
House of the Witch,en,False,0,/3Z8TQeeB4wC5zEXw4XugyO0upLV.jpg,http://www.marvista.net/catalog_items/1097,480157,tt6988208,44.008,/fSvhp22gCoHgFMDSnyhrmlo3M0k.jpg,2017-10-07,0,90.0,Released,This House Belongs to Her,House of the Witch,False,4.5,78,"Horror,","MarVista Entertainment,Distilled Media,",,"en,","US,",1,"witch,halloween,haunted house,prank,teenager,",12,9,"Alex Merkin,"
Kingsman: The Golden Circle,en,False,104000000,/uExPmkOHJySrbJyJDJylHDqaT58.jpg,http://www.foxmovies.com/movies/kingsman-the-golden-circle,343668,tt4649466,57.318,/34xBL6BXNYFqtHO9zhcgoakS4aP.jpg,2017-09-20,410902662,141.0,Released,Reports of my death have been greatly exaggerated.,Kingsman: The Golden Circle,False,7.0,7214,"Action,Adventure,Comedy,Crime,Thriller,","20th Century Fox,Marv Films,Cloudy Productions,TSG Entertainment,Shangri-La Entertainment,",Kingsman Collection,"sv,en,it,","GB,US,",2,"saving the world,spy,europe,sequel,secret government organization,agent,statesman,",54,129,"Matthew Vaughn,"
