original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,review_content,keywords,cast_size,crew_size,director
シン・エヴァンゲリオン劇場版:||,ja,False,0,/cdav7lVUviYvQwKB2v73PpaJMFV.jpg,http://www.evangelion.co.jp/,283566,tt2458948,The fourth and final film in the Rebuild of Evangelion series.,463.863,/q034rbTWteRNA8sMSc2YjegmiUx.jpg,2021-01-23,0,0,In Production,"Bye-bye, all of EVANGELION.",Evangelion: 3.0+1.0 Thrice Upon a Time,False,0.0,0,"Animation,Action,Drama,Science Fiction,","Studio Khara,The Klock Worx Co.,Toei Company,Toho Company, Ltd.,",Rebuild of Evangelion Collection,"ja,","JP,",0,,"technology,dystopia,battle,cyber & mecha,anime,humanity under attack,",4,11,"Katsuichi Nakayama,"
Playhouse,en,False,0,/e1zdlboXWPtOgY5TgeEEhYhJ098.jpg,,728791,tt9449666,"Reckless Jack Travis is an irreverent horror writer notorious for scaring audiences. But as he obsesses over creating a new theatre show set in a haunted Scottish castle, demonic disturbances from deep within the walls begin to prey on his troubled daughter. When the alarming supernatural forces start to close in on him too, Jack is forced to reckon with the terrifying consequences of creating such a dark and macabre play. But will he realise the danger of unearthing a historic curse and stop writing before he damns himself, his personal sanity and those he loves forever?",403.2,/cF4tZH8VQ6Lic3bi4WKwWDJODQf.jpg,2021-01-28,0,87,Released,Some stories should never be told,Playhouse,False,0.0,0,"Horror,Thriller,","Far North Film,",,"en,","GB,",0,,"evil spirit,playwright,",9,4,"Toby Watts,"
Let It Snow,en,False,0,/kJZI5tPWTVJrgmBCYMq8rkFP7Sk.jpg,,720395,tt11272898,"Separated from her fiance after sneaking onto a restricted slope, Mia, a free riding snowboarder, must survive not only against nature, but the masked snowmobile rider in black who's out for her blood.",76.122,/rAeQaySpt5iSdK8eWOpBnSB8mGQ.jpg,2020-09-22,0,86,Released,They were warned,Let It Snow,False,5.7,16,"Thriller,Horror,","Solar Media Entertainment,",,"en,","GE,UA,",1,"Not a big fan of survival thrillers but thought I'd give this a go, figuring based on the synopsis could be a throwback to the 1980s low budget horror-thriller. The set-up was fine though some of the acting was a bit much (including the male lead a clear broheim along the lines of Owen Wilson), but the lead actress was fine I guess.

However, there's a point I lost interest as it's scene after scene in the snow with her consistently running away from the killer. At the very least I wished she would be more proactive, but nope. And relies a lot on coincidence and happenstance. **2.5/5**

In addition, don't quite know how the killer knows a couple (not the one in this movie, but years earlier) were responsible for the death at the film's core.,",,14,14,"Stanislav Kapralov,"
A Quiet Place Part II,en,False,0,/z2UtGA1WggESspi6KOXeo66lvLx.jpg,,520763,tt8332922,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",70.524,/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg,2021-04-21,0,97,In Production,Silence is not enough.,A Quiet Place Part II,False,0.0,0,"Drama,Science Fiction,Thriller,","Platinum Dunes,Sunday Night,Paramount,",A Quiet Place Collection,"en,","US,",0,,"deaf,post-apocalyptic future,alien life-form,alien,child in peril,psychological thriller,alien invasion,parenting,survival horror,alien monster,human vs alien,sign languages,alien attack,",25,15,"John Krasinski,"
F9,en,False,0,/xXHZeb1yhJvnSHPzZDqee0zfMb6.jpg,https://www.thefastsaga.com/,385128,tt5433138,"Dominic Toretto is leading a quiet life off the grid with Letty and his son, little Brian, but they know that danger always lurks just over their peaceful horizon. This time, that threat will force Dom to confront the sins of his past if he’s going to save those he loves most. His crew joins together to stop a world-shattering plot led by the most skilled assassin and high-performance driver they’ve ever encountered: a man who also happens to be Dom’s forsaken brother, Jakob.",66.463,/qIicLxr7B7gIt5hxZxo423BJLlK.jpg,2021-05-26,0,145,Post Production,Justice is coming.,F9,False,0.0,0,"Action,Thriller,","Universal Pictures,Original Film,One Race,Perfect Storm Entertainment,Roth/Kirschenbaum Films,",The Fast and the Furious Collection,"en,","US,",0,,"car,cinematic,",28,15,"Justin Lin,"
Untitled Spider-Man 3,en,False,0,,,634649,tt10872600,,62.482,/4dS40km5rcd4udAGJheU18ZeSfi.jpg,2021-12-16,0,0,In Production,,Untitled Spider-Man 3,False,0.0,0,"Action,Adventure,Science Fiction,","Sony Pictures,Marvel Studios,Pascal Pictures,Columbia Pictures,",Spider-Man (Avengers) Collection,"en,","US,",0,,"hero,comic book,superhero,based on comic,marvel cinematic universe,",10,24,"Jon Watts,"
The Boss Baby: Family Business,en,False,0,/aloEanVuvX8HJYs9mzSvl0cZNFi.jpg,https://www.dreamworks.com/movies/the-boss-baby-2,459151,tt6932874,"Tim Templeton and his little brother Ted, the famous Boss Baby, have become adults, they live on their own, Tim has become a tidy family man and Ted is the head of a large speculative fund. But the arrival of a new Boss Baby, with a whole new approach and innovative strategy, is about to bring the enemy brothers together ... and inspire a new model in family affairs.  Tim and his wife Carole live in the suburbs where he takes care of the household while she boils the pot. They have two children: Tabitha, a remarkably intelligent 7-year-old girl, and Tina, their adorable newborn. Tabitha, first in her class at a school for the gifted, adores her uncle Ted and dreams of following in his footsteps, which worries Tim very much, who fears that she will miss out on her childhood by working so hard.",59.474,/mI0zOznPUOYjObFq271k2IXLwOM.jpg,2021-03-18,0,0,Post Production,,The Boss Baby: Family Business,False,0.0,0,"Animation,Family,Comedy,Adventure,Fantasy,","DreamWorks Animation,",The Boss Baby Collection,"en,","US,",0,,"baby,family,baby boss 2,dreamworks,universal pictures,",9,6,"Tom McGrath,"
Free Guy,en,False,0,/xExfwYrStEGpcX8tCI4nTYjbVaN.jpg,https://www.20thcenturystudios.com/movies/free-guy,550988,tt6264654,A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,59.077,/7BdpESY7uRi6BNOuj9nIhkLc775.jpg,2021-05-21,0,0,Post Production,The world needed a hero. They got a guy.,Free Guy,False,0.0,0,"Comedy,Action,Adventure,Science Fiction,","Berlanti Productions,21 Laps Entertainment,Maximum Effort,20th Century Studios,",,"en,","US,",0,,"video game,",32,50,"Shawn Levy,"
Black Widow,en,False,200000000,/va57B6HQg0DHBYvT4Y9R4WPu4fn.jpg,https://www.marvel.com/movies/black-widow,497698,tt3480822,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",50.67,/uAUCHOYwFKQvSRZByP8rCgWKwT.jpg,2021-04-29,0,0,Post Production,She's Done Running From Her Past.,Black Widow,False,0.0,0,"Action,Drama,Adventure,Thriller,","Marvel Studios,Zak Productions,Cinesite,Clear Angle Studios,Digital Domain,Trixter Film,Industrial Light & Magic,Stereo D,",,"en,","US,",0,,"spy,assassin,hero,russia,kgb,spying,comic book,superhero,based on comic,heroism,female assassin,dark hero,female spy,female hero,spy hero,marvel cinematic universe,woman director,sisterhood,action hero,heroes,female team,",57,228,"Cate Shortland,"
Venom: Let There Be Carnage,en,False,0,/aL1fZFP5vsh3bIZEOBh6UxxtHK3.jpg,,580489,tt7097896,"Sequel to the box-office hit film ""Venom.""",47.648,/wi0w3uNtvHdMqPtOA6meuqn8y6r.jpg,2021-06-23,0,0,Post Production,,Venom: Let There Be Carnage,False,0.0,0,"Action,Science Fiction,","Marvel Entertainment,Pascal Pictures,Columbia Pictures,Sony Pictures,",Venom Collection,"en,","US,",0,,"hero,villain,sequel,superhero,based on comic,symbiote,antihero,sony's marvel universe,",8,15,"Andy Serkis,"
