original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,review_content,keywords,cast_size,crew_size,director
Fifty Shades Freed,en,False,55000000,/9ywA15OAiwjSTvg3cBs9B7kOCBF.jpg,http://www.fiftyshadesmovie.com,337167,tt4477536,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",64.292,/9ZedQHPQVveaIYmDSTazhT3y273.jpg,2018-01-17,368307760,105.0,Released,Don't Miss the Climax,Fifty Shades Freed,False,6.6,5739,"Drama,Romance,","Universal Pictures,Perfect World Pictures,",Fifty Shades Collection,"en,","US,",1,"Nice Movie ♥,","based on novel or book,eroticism,sequel,bdsm,",40,116,"James Foley,"
Maze Runner: The Death Cure,en,False,62000000,/bvbyidkMaBls1LTaIWYY6UmYTaL.jpg,http://mazerunnermovies.com,336843,tt4500922,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.",58.09,/2zYfzA3TBwrMC8tfFbpiTLODde0.jpg,2018-01-10,288175335,144.0,Released,The end will be WCKD,Maze Runner: The Death Cure,False,7.1,5303,"Action,Science Fiction,","Gotham Group,Temple Hill Entertainment,20th Century Fox,",The Maze Runner Collection,"en,","US,",2,"Good movie!,Thank you very much for not splitting this movie into two parts. As a member of _The Death Cure's_ audience I do genuinely appreciate that.

I am less appreciative however of the movie itself. It doesn't at all pay off the confusion I suffered at the hands of the franchise. My opinion on the _Maze Runner_ series has been mixed, but I feel certain that this one is the worst, and not only that, but it kind of retroactively made me appreciate the first two less.

_Final rating:★★ - Had some things that appeal to me, but a poor finished product._,","based on novel or book,fight,maze,imprisonment,post-apocalyptic future,terminal illness,shooting,sequel,murder,mad scientist,survival,trial,zombie,doctor,battle,vaccine,scientist,city,killer,desert,labyrinth,combat,illness,cure,zombie apocalypse,runner,universal cure,based on young adult novel,",35,197,"Wes Ball,"
12 Strong,en,False,35000000,/x5EUEv1N9g4BCX9GQXKvv3nqMVo.jpg,https://12strongmovie.com,429351,tt1413492,A team of CIA agents and special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,40.393,/j18021qCeRi3yUBtqd2UFj1c0RQ.jpg,2018-01-16,67131266,130.0,Released,The declassified true story of the horse soldiers,12 Strong,False,6.0,1967,"Drama,Action,History,War,","Torridon Films,Alcon Entertainment,Black Label Media,Jerry Bruckheimer Films,Lionsgate,16:14 Entertainment,",,"en,","US,",1,"Not really my sort of thing, but I can't go so far as to say that it's ""bad"". It's a little formulaic and it's a lot American patriotic (ironic given that the star is Australian), but it's... I guess ""professional"" is the word that best suits it? I wouldn't begrudge the target market for enjoying _12 Strong_ is what I'm saying.

_Final rating:★★½ - Not quite for me, but I definitely get the appeal._,","cia,based on novel or book,afghanistan,taliban,based on a true story,post 9/11,",52,149,"Nicolai Fuglsig,"
Den of Thieves,en,False,30000000,/s3FDBLH4qc1IcjexB05Qvbn3wxO.jpg,http://stxfilms.com/denofthieves/,449443,tt1259528,A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,39.437,/AfybH6GbGFw1F9bcETe2yu25mIE.jpg,2018-01-18,80509622,140.0,Released,You're not the bad guys. We are.,Den of Thieves,False,6.7,1871,"Action,Thriller,Crime,","Atmosphere Entertainment MM,Diamond Film Productions,G-BASE,Tucker Tooley Entertainment,",,"en,","US,",3,"Great Movie! Loved the plot and the twist. Tense throughout. Glimps of The Usual Suspect
All star cast. Must watch,Den of Thieves is a heist/caper film with a running time of 140 minutes. The movie gives tribute to classic crime thriller movies, including Heat (1995) and The usual suspects (1995). 

Den of Thieves is the directorial debut of Christian Gudegast, he also co-wrote the script and produced the film. The film features fast paced action sequences. Both the videography and sound of the film were very good. The acting and the plot twist was also good but the film contained some plot holes, some deficiencies in the writing. 

Final verdict: 6.5/10,For a movie that's basically just _Heat_, _Heat_ this ain't.

_Final rating:★★½ - Had a lot that appealed to me, didn’t quite work as a whole._,","detective,police brutality,fbi,donut,strip club,heist,shootout,los angeles, california,divorce,bank robbery,car chase,death,ex-marine,armored truck,donut shop,",22,182,"Christian Gudegast,"
Insidious: The Last Key,en,False,10000000,/PwI3EfasE9fVuXsmMu9ffJh0Re.jpg,http://www.insidiousmovie.com,406563,tt5726086,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home.",28.74,/nb9fc9INMg8kQ8L7sE7XTNsZnUX.jpg,2018-01-03,167184112,118.0,Released,Fear comes home.,Insidious: The Last Key,False,6.2,1886,"Horror,Mystery,Thriller,","Stage 6 Films,Blumhouse Productions,Sony Pictures,Universal Pictures,",Insidious Collection,"en,","US,",1,"I think that _Insidious_ might genuinely be a franchise best watched in the story's chronological order, rather than the movies' release dates. I can't be certain though, because I'd have to re-watch them all to make sure I'm not making a bad recommendation, and I'm not super keen on doing that seeing as this one and the one preceding it were both kinda... bad.

The mythology of _Insidious_ is something I am very interested in, and _The Last Key_ added it to it **somewhat**. But if this is the sort of quality we can expect from future instalments, then maybe we should never see the resolution of the same cliffhanger ending that they've given us for **the last three movies in a row**.

_Final rating:★★ - Had some things that appeal to me, but a poor finished product._,","medium,key,haunted house,prequel,spirit,1950s,",23,24,"Adam Robitel,"
I Kill Giants,en,False,15100000,/lffgWEBiLf9DbDdb86WsGsEcWTg.jpg,,419831,tt4547194,"Sophia, a new high school student, tries to make friends with Barbara, who tells her that “she kills giants,” protecting this way her hometown and its inhabitants, who do not understand her strange behavior.",42.433,/cvit6HDbXHE6W5kGPd47jd0wthQ.jpg,2018-01-21,0,106.0,Released,"I find giants, I hunt giants",I Kill Giants,False,6.1,840,"Drama,Fantasy,","XYZ Films,1492 Pictures,Having Me Films,Ocean Blue Entertainment,uFund,Man of Action,Adonis Production,Parallel Films,Umedia,",,"en,","BE,GB,US,",2,"The CGI beasties were pretty cool to behold, unfortunately they were a pretty minute part of this movie, which is absolutely not what it was marketed to be. Now I've got no problem with a movie subverting expectations, but _I Kill Giants_ didn't offer up enough within its alternatives to come away with a whole-hearted recommendation from me. What it does have is intermitantly interesting, and although I was a little disappointed, it was very far from the worst film I've seen all year.

_Final rating:★★½ - Had a lot that appealed to me, didn’t quite work as a whole._,The moral of the story is deep down inside every interesting and unique individual is an emotionally damaged person who just wants to wear normal clothes when they are ""fixed"", I'm looking at you The Breakfast Club, The Faculty, This Must Be The Place...

Could've been a better film, if there had have been more ambiguity and less fixing of creative people to make them normal. Seriously I was bummed when the lead girl turned up without her bunny ears.

Cool creature design seemed relatively pointless, because it was an emotional drama rather than a monster film. Also they didn't blend the CG and live action well enough for it to seem realistic or fluid. All in all kind of a waste of time, even if it was an interesting monster to pick. Too much indie, not enough everything else.

For a better emotional drama with literal monsters expressing figurative problems, choose the far better Colossal.,","monster,based on comic,teenage girl,based on graphic novel,",13,70,"Anders Walter,"
Batman: Gotham by Gaslight,en,False,1000000,/9ojJB7vZR2uDqXdxOzYaADthEBT.jpg,https://www.warnerbros.com/batman-gotham-gaslight,471474,tt7167630,"In an alternative Victorian Age Gotham City, Batman begins his war on crime while he investigates a new series of murders by Jack the Ripper.",30.864,/7souLi5zqQCnpZVghaXv0Wowi0y.jpg,2018-01-12,3469151,78.0,Released,"As the Ripper stalks Gotham City, the Dark Knight reveals the face of terror.",Batman: Gotham by Gaslight,False,6.6,434,"Thriller,Action,Animation,Science Fiction,","Warner Bros. Animation,DC Entertainment,DC Comics,",,"en,pt,es,","US,",1,"My all-time favourite superhero film (_Batman: The Dark Knight Returns_) is an animated DC movie, so I'm always willing to give a chance to whatever they bring out in my never-ending search to find the next great one. Unfortunately, most end up being pretty poor offerings. But there's a decent number that end up somewhere in the middle, and _Gotham by Gaslight_ is on the higher end of that spectrum in between.

The voice acting offers nothing special. Stylistically, the animation leaves a lot to be desired (don't let that gorgeous poster fool you). But it's the story that's truly important, and here _Gotham by Gaslight_ finds enough success in its Elseworld telling to come off with a win.

_Final rating:★★★ - I liked it. Would personally recommend you give it a go._,","dc comics,jack the ripper,based on comic,",15,15,"Sam Liu,"
Kickboxer: Retaliation,en,False,13000000,/nTH63dIC9D9lWhQlvCu4zSoESKj.jpg,http://www.kickboxervengeance.com/kickboxer2,447665,tt5208950,"One year after the events of ""Kickboxer: Vengeance"", Kurt Sloan has vowed never to return to Thailand. However, while gearing up for a MMA title shot, he finds himself sedated and forced back into Thailand, this time in prison. He is there because the ones responsible want him to face a 6'8"" 400 lbs. beast named Mongkut and in return for the fight, Kurt will get two million dollars and his freedom back. Kurt at first refuses, in which a bounty is placed on his head as a way to force him to face Mongkut. Kurt soon learns he will have no other choice and will undergo his most rigorous training yet under some unexpected mentors in order to face Mongkut in hopes to regain his freedom.",31.808,/oMWP4cAoy8WBauuKZAVTIfuY3Fw.jpg,2018-01-26,4537,110.0,Released,,Kickboxer: Retaliation,False,5.4,176,"Action,Drama,","Our House Films,Head Gear Films,Metrol Technology,",Kickboxer (Reboot) Collection,"en,","US,",0,,,40,28,"Dimitri Logothetis,"
映画 中二病でも恋がしたい! -Take On Me-,ja,False,0,/m5DxRZhJO7aluDyHW40M8cEBZAv.jpg,http://www.anime-chu-2.com/,460399,tt6915208,"Yuuta and Rikka are in their third year of high school. One day in Spring, Touka declares that she will take Rikka to Italy with her, as her job has stabilized there and thinks they should migrate together as a family. Touka is also worried about Rikka not being competent enough to advance to universities in Japan. The gangs from the club suggested Yuuta, who doesn't want to be separated, to elope with Rikka!! A runaway drama throughout Japan begins.",29.316,/grlNqxlne3pRBB5kvEc2aHtrSKv.jpg,2018-01-06,1822043,94.0,Released,,"Love, Chunibyo & Other Delusions! Take On Me",False,7.4,22,"Animation,Comedy,Fantasy,","Kyoto Animation,Sentai Filmworks,",中二病でも恋がしたい!,"ja,","JP,",0,,"romance,slice of life,school,based on light novel,anime,",5,9,"Tatsuya Ishihara,"
The Commuter,en,False,30000000,/clmYuR1t4TtKcakIOvYIPrjyxDc.jpg,https://thecommuter.movie/,399035,tt1590193,"A businessman, on his daily commute home, gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him.",27.861,/rDeGK6FIUfVcXmuBdEORPAGPMNg.jpg,2018-01-11,119942387,104.0,Released,Lives are on the line,The Commuter,False,6.3,3209,"Action,Thriller,","StudioCanal,Ombra Films,TF1 Films Production,The Picture Company,Canal+,Ciné+,Amazon Prime Video,",,"en,","US,FR,GB,",2,"_It's as dull as my usual ride in a usual train going home._,Neeson throwing himself about the train-setting is engaging enough to hold your attention for about an hour. Unfortunately, _The Commuter_ is an hour and fortyfive minutes long.

_Final rating:★★½ - Had a lot that appealed to me, didn’t quite work as a whole._,","conspiracy,train,",60,105,"Jaume Collet-Serra,"
