original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,review_content,keywords,cast_size,crew_size,director
Spider-Man: Into the Spider-Verse,en,False,90000000,/aUVCJ0HkcJIBrTJYPnTXta8h9Co.jpg,http://www.intothespiderverse.movie,324857,tt4633694,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",167.268,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,2018-12-06,375540831,117.0,Released,More Than One Wears the Mask,Spider-Man: Into the Spider-Verse,False,8.4,8552,"Action,Adventure,Animation,Science Fiction,Comedy,","Sony Pictures,Columbia Pictures,Marvel Entertainment,Avi Arad Productions,Lord Miller,Pascal Pictures,Sony Pictures Animation,",Spider-Man: Spider-Verse Collection,"en,es,","US,",48,"First of all, I love the animation style in this film. The animation in this film is styled to look like an actual comic book. I think this approach for this kind of film was an excellent choice because we’ve all seen the usual kind of animation but nothing like this. To tie in with the animation I need to talk about the action scenes in this film. These tie in with the animation because of the way the directors styled the action shots is to look like something in a comic panel. Most people don’t know who Miles Morales is and after this film, you’ll want to learn more about him because of how they made him so relatable in this film. He acts like a typical teen in this situation compared to other versions of Spider-Man. Other versions kind of just acted like they always knew how to use their powers when Miles struggles with his. Miles isn’t the only relatable character film all of them are. The creators of this film did a “Marvel”ous job at making each character in this film somebody at least one person in the audience can relate to. All of the voice actors did a great job in their respected roles but it would’ve been nice to have a returning voice to at least one of the Spider-Man. It would’ve been cool to hear a returning voice even if it was for a few seconds. I have to talk about the humour in this film. It isn’t overpowered in this film and I felt like it had just the right amount of humour that will make everybody laugh. They poke fun of things that wouldn’t make sense in a real movie and other Spider-Man movies. Not a single moment in this film felt rushed or slowed down every scene felt the right pace for a movie like this. The cinematography in this movie was spectacular. This is probably because of it looking like a comic book and how the lighting needs to match up with how it would look in an actual book. If you are a comic book junkie you’ll love all of the easter eggs in this film. Some of them just comic book readers will get but others a majority of people will understand. The music in this film is fantastic. Every song in this film isn’t overused and matches perfectly with the age of the character. Somebody Miles age would be listening to the type of music he listens to. And the music without lyrics helps increase the emotion in the film. Also, there are two end credit scenes that are worth waiting for. In the end, this film is perfect for everybody. I give Spider-Man: Into the Spider-Verse a 10/10.,It's true I liked it less than perhaps the vast majority of _Spider-Verse's_ audience, but this was still great, the animation enamouring, and the depth of its story and reference totally engaging. Not to me the best Spider-Man movie as many have said, (that honour still goes to _Homecoming_) but a blast all the same.

_Final rating:★★★½ - I really liked it. Would strongly recommend you give it your time._,My wife doesn’t care for Spider-Man at all - as Batman is her favorite superhero.

With that being said, she loves this movie to death, along with my son and I. It’s safe to say we’ve watched this movie over 10 times and we’ve shown it to all our friends. It’s a really great movie that promotes diversity, good animation, and has a great story. I highly recommend to all who are interested in watching.,Spider-Man: Into the Spider-Verse (2018) is no ordinary Spider-Man movie, it contains multiple characters with the same powers in multiple dimensions.
 This is also not an ordinary animated movie. It has animated style we have never seen before. There were 177 animators and it took 1 week to animate 1 second and 1 year to nail down 10 seconds. Nowadays, animations are being made to look real but this movie was different. However, the creators wanted it to look like something new for viewers. They don't make it realistic or cartoon. The creators used an old-school technique called ""smear"". If you look in a single frame, you'll notice things like multiple limbs to create the illusion of movement. Basically, the entire movie was a comic book that moves. There is a technique in half-toning, which uses dots to create colors and gradients. They were really jaw-dropping. The shadows were created with hatching or crisscrossed lines. The movie had some textures so it would be exactly like a comic and I was glad that it deserved Oscars's Best Animated Feature. All of these techniques combined to make a movie that was the best animated feature not just in 2018 but perhaps of all time. It was really like a masterpiece of animation!
 The story plot was really good. The scenes were quite EPIC and sometimes tragic and hilarious. The unbelievable thing was when Peter Parker died in Miles' Dimension. It was really sad to see an iconic superhero killed by a supervillain. The deaths are moving and the hilarious scenes kept me laugh a lot. I like the end-credits when it started in the Animated Tv Show Spider-Man (1966) when the two Spider-Men look exactly like each other arguing, but this time, it was Spider-Man pointing to Spider-Man 2099. How did they do that? Perhaps the best moment to me was “A Leap of Faith” when Miles tried to be the one and only Spider-Man in his dimension, after Peter Parker was dead.
I wasn't bored watching this movie, it kept my eyes open on the screen looking at the newest kind of animation. I was totally impressed! Perhaps this is the greatest animated movie of alll time! It was a really good idea to release this on Christmas!,Stan Lee would be proud! Great story, great message, and great animation.,It's easy to see how this became the visual masterpiece it is. The creators put a lot of love and passion into its making and the results are amazing!,I was asleep most of the time while watching this film,  but during the times I was awake, I enjoyed the animation and it looked like something I would've enjoyed - if I weren't too busy dozing off.,I didn't expect I would enjoy this movie this much. The trailers looked too hyped for me and so I thought it would flop just like the other ones. Surprisingly, it didn't and I had my eyes glued to the screen because of the awesome animation the creators put out. Really good job!,Spider-Man has always been that character that I saw in live-action movies so to see him in an animated version was a first for me. It was hard for me to enjoy it at first but the movie didn't seem too bad and had a really good plot.,At first,  I expected I was gonna be disappointed because all of the trailers for this Spider-Man looked childish and too millennial for me. And being a fan of the Tobey Spider-Man, I had high expectations. Surprisingly though, I was able to still love the film!,No doubt about it. This is truly Marvel, from the bold storytelling all the way to its stylish animations.,A lot of risks were taken in this video and all that paid off giving us one hell of a film!,Although the story was a textbook plot, it still had enough twists to satisfy both new and returning audiences.,This definitely has Stan Lee's seal of approval. People in the studio, be proud of yourselves. You have made Stan Lee proud.,One of the few films that lived up to the hype and even surpassed my expectations.,Watched this movie a couple of times and I think it's safe to say that it's a near, perfect movie.,Animators really outdid themselves on this one by giving each character a uniqueness to them.,Sony really nails making character movement look detailed and pronounced.,Despite having a plot that's almost predictable, the visual style and the way it was presented made the film feel fresh.,The visuals, concepts, soundtrack, and characters are some of the best I've ever seen!,","superhero,based on comic,aftercreditsstinger,alternate universe,",74,189,"Bob Persichetti,"
Aquaman,en,False,160000000,/9QusGjxcYvfPD1THg6oW3RLeNn7.jpg,http://www.aquamanmovie.com,297802,tt1477834,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",92.979,/5Kg76ldv7VxeX9YlcQXiowHgdX6.jpg,2018-12-07,1148461807,144.0,Released,Home Is Calling,Aquaman,False,6.9,9669,"Action,Adventure,Fantasy,","DC Comics,DC Entertainment,Warner Bros. Pictures,The Safran Company,Rodeo FX,Panoramic Pictures,DC Films,Cruel & Unusual Films,",Aquaman Collection,"en,","AU,US,",7,"Good movie to watch.,***Lame-axx butt of a joke no longer*** 

Arthur Curry (Jason Momoa) lives with his father on the Maine Coast, a caretaker of a lighthouse. With the mentorship of Vulko (Willem Dafoe) and the revelations of Mera (Amber Heard) he discovers that he is the half-breed heir to the underwater kingdom of Atlantis. As the rightful successor to the throne, he must tangle with his brother Orm (Patrick Wilson) to save the surface world from destruction. Meanwhile Black Manta (Yahya Abdul-Mateen II) seeks vengeance on Arthur for the death of his father.

“Aquaman” (2018) is a colorful superhero flick featuring a flashy action scene for every 5 minute lull. It’s reminiscent of “Thor” (2011) and “Thor: The Dark World” (2013), but with spectacular undersea realms instead of Asgard & realms nearby. Yet the drama was better in those movies whereas here it feels like the creators were in a rush to jump to the next action sequence, which might make “Aquaman” ‘thrilling,’ but less compelling story-wise.

Still, it’s very eventful with loads of energy (maybe TOO eventful for its own good). And I liked the balance of underwater scenes to surface scenes with spectacular locations, including the Sahara Desert and Sicily. Meanwhile Amber is stunning as redheaded Mera. Even Nicole Kidman shows up as Arthur’s mother, Atlanna. Speaking of Arthur, Momoa is magnificent as the protagonist and will forever change the public’s generally weak perception of Aquaman.

The film is a bit overlong at 2 hour, 23 minutes; and was shot in Australia (Hastings Point, Amity Point, Southport, Main Beach & Currumbin Beach); Newfoundland & Labrador, Canada; and Morocco (Erfoud & Merzouga).

GRADE: B,I just came back home from watching Aquaman on the IMAX theater in Balexert in Geneva and thought that I should write something up while it’s still fresh in my mind. Something that happens all too rarely.

I have to say that, overall, I had quite a blast watching this movie. It is indeed a good superhero and special effects extravaganza. In addition it is quite beautiful. A lot of the underwater scenes are very pleasing on the eye indeed. I am quite happy that I managed to drag my ass over to a theater and watch it on a IMAX screen. Some of the hype around it is perhaps a bit too much though. It does not quite reach the masterpiece level after all.

Storywise, well it is a superhero movie after all so if you expect the story to be profound, logical and watertight you should lay off those mushrooms or whatever you are smoking. That said, the story was not too bad. Pretty straightforward and not too convoluted. A good, solid story suitable for a action/adventure movie.

I did quite like the main protagonists on the good side. Especially Jason Momoa as Aquaman. I mean his time-to-kick-some-ass-stare was just so…evil. The script writer had put some stupid shit in there where he had to play overly dumb at times but on the whole he was a good guy throughout the entire movie. Almost no whining, angst and anti-hero shit like what have totally ruined most of the Marvel TV-shows lately.

The bad guys were not too bad either. Orm was lacking a bit in the bad guy charisma department but Black Manta was oozing despicable bad bad bad asshole from the first scene to the last. I probably should not say this because his weird helmet is indeed true to the comics but, well, it’s weird and kind of looks better in a comics than on the big screen.

Special effects? Well, there is not that much to say really. They are pretty awesome throughout the movie and, as I wrote above, a lot of the time they are also beautiful. The various creatures, underwater vehicles and gadgets are really cool and well designed.

The one gripe I have about the movie is the totally unnecessary green preaching crap. Luckily it is confined to a couple of scenes but in those it is really slapped in the audience’s faces. A superhero movie should be entertaining, not preaching. If I want that shit I can turn on the news. It’s a star off from me just for that nonsense.,Doesn't hold a candle to _Wonder Woman_, but tall-buildings worth of leaps (and bounds) better than everything else that's come out of the DCIThoughtSheWasWithU. It's weirdly kind of... The nicest? Of these movies? Which is not the kind of direction you would think a film in this series would go based on how it started, but Jason Momoa is just charismatic as **Hell**, and _Aquaman_ leans on that a lot.

By the time it's over, _Aquaman_ really does hit just about every cliche of the genre there is, which is not exactly high praise. It's certainly not without heart, but it is still more spectacle than substance. But unlike, say, your _Transformers 4_, a movie often levelled the same criticism, it is not trash.

_Final rating:★★★ - I liked it. Would personally recommend you give it a go._,Aquaman was soooo cool!!!,The story was laughable.
The plot holes were immense.
The dialogue was atrocious.
The special effects were technically competent and pretty but cartoonish and unbelievable.

Easily the worst film I've seen in the last year.

If it was a bit campy, then it might have succeeded in a kind of sub-Flash-Gordon fashion.,I am so conflicted.
We're introduced to the atlanteans with Nicole Kidman in a leotard and wet hair looking out of place in a living room and eating a gold fish.
The first fight scene has so many dramatic zoom-ins with dramatic music I thought I was watching the dramatic chipmunk video.
Willem Dafoe riding a fish!
Cheesy lines like a bad 80's action parody.
Some amazing CGI environments, others looked like they belonged in Diablo 3. Awful compositing throughout.
Unnecessary detour through the Mines of Moria.
Puzzles worthy of Lucas Arts point and click adventure games. A villain from 90s power rangers.
Amazing scary trench scene! Giant sea creature war with fireworks and laser beams! 
Not good, and not bad enough to be entertaining.,","dc comics,hero,atlantis,half-brother,superhero,based on comic,royalty,shark,duringcreditsstinger,dc extended universe,",52,498,"James Wan,"
Bumblebee,en,False,135000000,/hMANgfPHR1tRObNp2oPiOi9mMlz.jpg,http://bumblebeemovie.com,424783,tt4701182,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken.  When Charlie revives him, she quickly learns this is no ordinary yellow VW bug.",89.305,/fw02ONlDhrYjTSZV8XO6hhU3ds3.jpg,2018-12-15,467989645,114.0,Released,Every Hero Has a Beginning,Bumblebee,False,6.7,4088,"Action,Adventure,Science Fiction,","Hasbro,Paramount,Allspark Pictures,Bay Films,Di Bonaventura Pictures,Tencent Pictures,Tom DeSanto/Don Murphy Production,",Transformers Collection,"en,","US,",2,"Decent, by the numbers, popcorn movie. Better than the other live action Transformers movie, but still not very good. Best parts were the fight scenes, especially on Cybertron. Otherwise, it was average, 5/10.,Strong contender for best live-action _Transformers_ movie ever made, but Christ, what a low fuckin' bar that is. The fact it isn't the clear and absolute winner is a devastating criticism.

_Final rating:★★½ - Had a lot that appealed to me, didn’t quite work as a whole._,","technology,based on toy,transformers,robot,spin off,1980s,autobot,",52,49,"Travis Knight,"
D-Railed,en,False,0,/fdQ5tWLCpbfz3zj3dq1nORih8Pq.jpg,,551238,tt8318702,Passengers on a murder mystery train that crashes into a river must decide whether to risk waiting for help in the wreckage or take their chances in the murky depths below.,70.864,/24GnXIwhkK95Kdz0KkTWeepA6El.jpg,2018-12-01,0,90.0,Released,Full scream ahead,D-Railed,False,5.3,51,"Action,Adventure,Horror,","Suzanne DeLaurentiis Productions,",,"en,","US,",0,,"halloween,train crash,murder mystery,",7,5,"Dale Fabrigar,"
Mary Poppins Returns,en,False,130000000,/3pvIMjJps4uJr5NOmolY0MXvTYD.jpg,https://movies.disney.com/mary-poppins-returns,400650,tt5028340,"In Depression-era London, a now-grown Jane and Michael Banks, along with Michael's three children, are visited by the enigmatic Mary Poppins following a personal loss. Through her unique magical skills, and with the aid of her friend Jack, she helps the family rediscover the joy and wonder missing in their lives.",59.446,/uTVGku4LibMGyKgQvjBtv3OYfAX.jpg,2018-12-13,348807090,131.0,Released,Magic Always Returns,Mary Poppins Returns,False,6.5,2443,"Fantasy,Family,Comedy,","Walt Disney Pictures,Marc Platt Productions,Lucamar Productions,",Mary Poppins Collection,"en,","US,",2,"The original Mary Poppins was one of my favorite movies when I was a kid and it kind of still is. Thus I was indeed a bit worried when I sat down to watch this one with the kids yesterday. After all there is really so many ways a incompetent writer could have screwed this one up. Especially one with an agenda.

Luckily this was not the case and I have to say that I quite liked this movie. Disney actually managed to keep the ambiance of the original movie and it actually felt like a Disney movie from the good old days. The days before every easily offended retard tried to make every movie into a preaching mouth piece for their personal crusade.

I think I liked the first half of the movie best. It was an explosion of song, magic and, for me, nostalgia. Apart from the hugely improved technology this movie had available to make the magic bits it actually felt like it could have been made back to back with the original. They really managed to capture the atmosphere from back then.

If I had to compare the two directly I would still go with the original as the best one. It was more imaginative and it just felt a bit better two me.

The story is a bit of a rehash of the original. They could have come up with something more original. Also, the second movie seemed to fizzle out a bit compared to the first half. I would have liked to see some more Mary Poppins coolness and magic, like we saw in the first half of the movie, instead of, mostly, conventional stuff. Also the take down of the bad guy was a bit underwhelming.

Apart from that I think sequel was not bad at all.,I enjoyed this movie just as I love the original Mary Poppins. I think it is largely a thankless task doing sequels for beloved films: Christopher Robin and Hook had to pass through a crucible of dislike by lovers of similar original flicks.  Remakes are similarly unpopular, perhaps for better reason, in my opinion. O 

The makers of Mary Poppins Returns aren't trying to reinvent the wheel, just entertain by using a bit of imagination to bring the original tale to a more savvy modern audience. No reason for us to rhetorically throw our toys out of the sandbox. Okay, I may not watch this new offering as often as I have the original, but it was entertaining without being rude, profane, crude or violent. Kind of rare, that.,","london, england,based on novel or book,nanny,magic,musical,sequel,family relationships,animated scene,female protagonist,housekeeper,family,discipline,depression era,live action and animation,1930s,",77,203,"Rob Marshall,"
ドラゴンボール超スーパー ブロリー,ja,False,1000000,/6OTRuxpwUUGbmCX3MKP25dOmo59.jpg,http://www.dbmovie-20th.com/,503314,tt7961060,"Earth is peaceful following the Tournament of Power. Realizing that the universes still hold many more strong people yet to see, Goku spends all his days training to reach even greater heights. Then one day, Goku and Vegeta are faced by a Saiyan called 'Broly' who they've never seen before. The Saiyans were supposed to have been almost completely wiped out in the destruction of Planet Vegeta, so what's this one doing on Earth? This encounter between the three Saiyans who have followed completely different destinies turns into a stupendous battle, with even Frieza (back from Hell) getting caught up in the mix.",59.851,/f03YksE4NggUjG75toz4H1YAGRf.jpg,2018-12-14,125002821,101.0,Released,A new adventure to become the strongest begins.,Dragon Ball Super: Broly,False,7.8,1745,"Action,Science Fiction,Animation,","Toei Animation,Fox International Productions,Shueisha,Fuji Television Network,Bandai Namco Entertainment,",Dragon Ball Super Collection,"ja,","JP,US,",1,"If you enjoy reading my Spoiler-Free reviews, please follow my blog :)

This is the third canon (or official if you’re not familiar with anime terms) Dragon Ball movie, after Dragon Ball Z: Battle of Gods and Dragon Ball Z: Resurrection ‘F’. So, unless you kept up with the anime, this film isn’t for you. Just letting you know right off the bat.

I would love to be able to describe in words what Dragon Ball means to me, but I can’t. It’s impossible to create a sentence that seamlessly lets you know how nervously excited I was right before the movie started. Yesterday, it was my first time watching my favorite anime on the big screen, and oh my God, it was AWESOME! Finally, I watched a film that I was highly anticipating, and I actually enjoyed it. Finally! I was tired of expecting big things from movies I really wanted to become a huge success, just to get ultimately disappointed. Broly is everything I wished for and more. Nevertheless, I must advise you: this animated flick is NOT for a casual moviegoer! 

If you stopped following Dragon Ball after Z or you don’t even know what DB is, you’ll basically be lost. You won’t recognize certain characters, you won’t understand how and why some guys are still alive, and you’ll have no clue about how strong our warriors became. This is for the fans. I’ve seen critics bashing this film to shreds, and they start their reviews stating “I’ve never seen the anime.” Then why would you watch a movie that clearly follows the anime’s story and review it? Just leave it alone! It’s like watching Avengers: Endgame without ever watching a single one of the 21 previous installments. It’s just nonsensical. So, with that out of the way, and assuming I’m writing for fans of the anime … 

This is the best Dragon Ball film ever, by a long shot. Yes, the track record wasn’t that good to begin with, and most of the movies released aren’t even canon. Still, Battle of Gods and Resurrection ‘F’ were pretty great, especially the former. Broly easily surpasses these two, in almost every aspect. Of course, I need to be fair to those first films. Dragon Ball Super elevated the anime once again and brought it back to the mainstream, so obviously, Broly had a lot of advantages since the studios offered everything they could so that the movie would be a major success. When the first two films were released, Super didn’t exist yet. Basically, these first movies were trying to bring back Dragon Ball to life while Broly is all about keeping it alive and showing it still has tremendous potential.

Thankfully, it all worked out perfect. The box office results are mind-blowing which will surely guarantee the continuation of Super (I’m waiting every single day for the news of the series renewal), and the film is, in fact, astonishing. The animation quality is absolutely jaw-dropping. You know when you go with friends to watch a movie and something so awesome occurs that you just look at each other in awe of what just happened? That’s Broly every single minute from the moment the fight begins. Super gave the fans a glimpse of what the animation level could be if time was not an issue for the animators. The Tournament of Power arc is undeniable proof that when the production leaves the animators work with no pressure, the end result is outstanding.

It’s just so freaking awesome. This is the only word in the dictionary that can reflect how crazily good the animation is. Awesome. There are so many long sequences of choreographed fights, with the animation always on-point, and with exceptional editing. The aspect I love the most is probably how fast it all is. Finally, I can understand Krillin when he says “how are you following that?!” Everything flows in such a flawless style: the characters, the blasts, the environment, everything. The sound design is incredibly powerful, as well. From the get-go, you know you’ll feel every punch, kick, “Kamehameha” and “Galick Gun.” Goku, Vegeta, and Broly provide so many amazing action scenes, and I know I’ll constantly rewatch them once they become available. God, Super ended a year ago, and I still find myself watching the final fight with Jiren every week or so.

However, Dragon Ball isn’t about the fights. Yes, everyone loves them, and there are a lot of fans who only care about the actual moment when our heroes fight their enemies. As a hardcore fan of the saga, it’s so much more than that. If characters like Goku and Vegeta, but also Piccolo, Gohan or even Frieza didn’t exist, their battles wouldn’t have the same impact. They mean something because these characters are important to me. I care so much about them because they were beautifully-developed throughout hundreds of episodes. I know that fillers can be a bit boring, but for me, they were just another way of getting to know these characters. Give me twenty minutes of banter between Goku and Vegeta, and I’ll be the happiest man on Earth, right now.

I’ll put it this way: if you enjoyed Battle of Gods more than Resurrection ’F’, you will love DBS: Broly as much or more than I do. If it’s the other way around, the first half of this film might leave you a bit disappointed. If you’re one of those fans who only care about the fights, you can leave the first 45 minutes with barely any Goku or Vegeta to me and the other fans who care about the story. I heavily praise Akira Toriyama‘s screenplay. This is the big difference to the other non-canon movies: they weren’t written by someone who really understands the characters at their disposal. Toriyama knows exactly who Broly is, where he comes from, and how he lived through his young years.

He wonderfully flushes out Broly by giving him an emotionally captivating backstory, filled with parent abuse, violence, and isolation from the rest of the universe. The history of Saiyans and Planet Vegeta is (finally) told entirely, by showing us characters that we all know and love, but that we were never able to see for more than a few minutes. Nevertheless, the standout character of the film is Broly. He has more screentime than any of the other warriors, precisely due to the reason I mentioned above: for us to care about him. Truth is, when they start fighting, I don’t want anyone to win or lose, because I genuinely care about all of them. Toriyama wasted half of the movie to develop this “new” character, and I 100% support his decision. Not only it generates more build-up to the inevitable climax, but it offers more layers to it. It stopped being “just a fight.”

Obviously, there were going to be nods to the past adventures. I almost dropped a tear when Goku and Vegeta show up for the first time due to the soundtrack alone. You’ll love every single “flash” regarding previous moments of Dragon Ball history, including the latest series and arc. Toriyama also does a remarkable job in helping fans that never watched Super trying to understand what happened after Z, even if he didn’t need to. The comedy bits are hilarious, as they have been with the latest series. From Vegeta yelling at Goku for doing or saying something dumb, to Bulma‘s interactions with Beerus and Whis, every joke lands in one way or another.

As much as I love this film, it does have some issues regarding its mixing of CGI with animation. One of the things I didn’t like at all in Resurrection ‘F’ was how some sequences felt like a video game. Unfortunately, there are a couple of moments like that in Broly. In order to keep the scenes flow without any cuts, CGI is necessary so the camera can change to another angle, and sometimes there’s this feeling that you seem to be playing one of Dragon Ball games. However, my biggest gripe has to be with the overuse of visual effects. Using VFX to build rich environment and help the battles have more impact, not only doesn’t work well but it’s just not Dragon Ball.

As we reach the climax, the VFX overpower the animation, and that is never a good thing. The fight loses its animated essence, and it becomes something that I don’t even know how to describe, except that it isn’t what it was supposed to be. In addition to this, even though I stated that this movie is about Broly and Broly alone, I would have loved to see more from Frieza. He acts purely as a plot device, and there’s barely anything for him to actively do, but he’s still important to make the plot move forward. Finally, the pacing could have been more balanced. Since the ending is predictable from even before the fight begins, it feels that the film was a bit stretched to try to reach the two-hour runtime.

Also, if you’ve seen all the trailers, you basically know the entire movie. That’s why I keep advising my followers to stop watching trailers or at least all of them. If you really need visual confirmation that the film deserves your time and money, watch the first trailer and decide from there. Dragon Ball Super always gave spoiler-heavy previews of the next episode, and the movie literally shows everything. Even without watching a single clip from it, I couldn’t escape the spoilers regarding the appearance of specific characters, which pretty much ruined any surprise the film could have offered me. Even with that in mind, I still think the ending felt a bit rushed, contradicting the somewhat slow pace during the first two acts.

In the end, there’s no doubt about it. Dragon Ball Super: Broly is, by far, the best Dragon Ball movie to date, and it’s really freaking awesome! It beats any other installment of the franchise, including the latest films. Akira Toriyama working together with a phenomenal team of animators is a match made in heaven. The story is remarkably well-written, with a full half dedicated to introduce and develop Broly as a mentally troubled child who had to deal with so much pain during his life. The animation reaches its peak quality-wise, demonstrating that when time is given to the animators, their work can be a visual masterpiece. With such an intriguing backstory on the history of Saiyans and a brilliantly structured build-up to an epic fight between Broly, Goku, and Vegeta, there was still time to cherish the nostalgia with some nods to previous moments in the beloved saga, as well as some hilarious comedy bits.

With more control over the use of CGI and visual effects, this could very well be one of 2019’s best movies. It still can be, but the climactic final battle lost of a bit of its impact due to the overwhelming VFX which completely overcame the animation itself. The ending is predictable before we reach half-runtime, and the spoiler-heavy trailers didn’t help to keep surprise as a factor. I have to repeat what almost every critic has been saying: if you’re a fan of the saga and you kept up with Super, this will give you everything you want and more. If you’re just a casual moviegoer or if you stopped watching after Z, it’s better if you don’t “poison” social media with opinions on a film that simply wasn’t made for you. 

Thank you, Toriyama! Thank you for giving me the chance to see my favorite anime on the big screen for the first time, and for making it epic. Can’t wait for the announcement of the series continuation …

Rating: A-,","space battle,transformation,resurrection,reboot,alien race,anime,",28,29,"Tatsuya Nagamine,"
Between Worlds,en,False,0,/3SrCDYkkibQ97zjdvf0NhTLTe3I.jpg,,500921,tt7295450,"Joe—a down-on-his-luck truck driver haunted by the memory of his deceased wife and child—meets Julie, a spiritually gifted woman who enlists his help in a desperate effort to find the lost soul of her comatose daughter. But the spirit of Joe's dead wife proves stronger, possessing the young woman's body and determined to settle her unfinished business with the living.",58.397,/wfxqobg0Do8OwIO6IUM7LWHF1mV.jpg,2018-12-21,0,90.0,Released,Vengeance Is Born In Hell,Between Worlds,False,5.1,124,"Action,Mystery,Thriller,Science Fiction,","Rise Up,Voltage Pictures,",,"en,","ES,",1,"I can't come out and **actually** recommend Between Worlds, but if you've got the oppurtunity to see it for free, you should at least watch the opening five minutes to see Nic Cage talk about a photo of his family. Hilarious. 

_Final rating:★★ - Had some things that appeal to me, but a poor finished product._,","spirit,woman director,lost soul,",21,75,"Maria Pulera,"
Sanctuary Population One,en,False,225000,/iRmZHJbjrxTwWMSoSJQ6GyzBilp.jpg,http://www.digimassfilms.com/sanctuary-population-one.html,586334,tt8470668,"A young idealist, Ethan, is left searching for his family while fighting the infected, Med-Ex militia and bloodthirsty marauders, and the ghosts of his past.",53.858,/lfdca1dN9pN62fc0y01U8ssAr5K.jpg,2018-12-01,0,76.0,Released,His planet is sick. His people are sick. And he's sick of rules.,Sanctuary Population One,False,5.3,7,"Science Fiction,Action,Drama,Adventure,Thriller,","CJ Entertainment Turkey,",,"en,","US,",0,,"apocalypse,infected,post apocalyptic,",23,1,"Lilly Heart Marriott,"
Once Upon a Deadpool,en,False,0,/7RqpTZq0mPpTcEwZ6qqwRZAFoLe.jpg,https://www.foxmovies.com/movies/once-upon-a-deadpool,567604,,"A kidnapped Fred Savage is forced to endure Deadpool's PG-13 rendition of Deadpool 2 as a Princess Bride-esque story that's full of magic, wonder & zero F's.",43.45,/5Ka49BWWyKMXr93YMbH5wLN7aAM.jpg,2018-12-11,0,117.0,Released,Yule believe in miracles,Once Upon a Deadpool,False,7.0,433,"Comedy,Action,","Marvel Entertainment,20th Century Fox,",,"en,","US,",1,"I have now officially seen three different versions of _Deadpool 2_. The theatrical, the ""Super Duper"" cut, and now this one. As far as I'm concerned, each re-release has been worse than the last. I get the use of the framing device, and it was even pretty funny doing the whole Fred Savage/_Princess Bride_ thing, but _Deadpool 2_ being cut together this way just felt erratic.

_Final rating:★★½ - Had a lot that appealed to me, didn’t quite work as a whole._,","based on comic,christmas,",38,11,"David Leitch,"
Mia et le lion blanc,fr,False,0,/aiyXOx5rU7UqYbToD3yDqoFY1gD.jpg,https://www.miaandthewhitelion.movie,498248,tt4844148,A young girl from London moves to Africa with her parents where she befriends a lion cub.,44.484,/zXfwBeYe0RnqsJ0dnBoFTB4SSrG.jpg,2018-12-26,0,98.0,Released,Friendship is the wildest adventure of all,Mia and the White Lion,False,7.4,580,"Adventure,Family,","M6 Films,Film Afrika Worldwide,Pandora Film,Galatée Films,Outside Films,StudioCanal,Canal+,Ciné+,M6,W9,Film- und Medienstiftung NRW,",,"en,fr,","ZA,DE,FR,",0,,"south africa,lion cub,football (soccer) fan,runaway child,white lion,christmas gift,",28,31,"Gilles de Maistre,"
