original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,review_content,keywords,cast_size,crew_size,director
僕のヒーローアカデミア THE MOVIE ～2人の英雄～,ja,False,0,/uicia399gyMGE1smatJ41M0CtFx.jpg,https://heroaca-movie.com/2018/,505262,tt7745068,"All Might and Deku accept an invitation to go abroad to a floating and mobile manmade city, called 'I Island', where they research quirks as well as hero supplemental items at the special 'I Expo' convention that is currently being held on the island. During that time, suddenly, despite an iron wall of security surrounding the island, the system is breached by a villain, and the only ones able to stop him are the students of Class 1-A.",117.435,/hC4nTxdhXqFWzgqynGvvXVMiMNp.jpg,2018-08-03,31478826,96,Released,Who is your hero?,My Hero Academia: Two Heroes,False,8.1,470,"Animation,Action,Comedy,Fantasy,Adventure,","BONES,Toho Animation,Toho Company, Ltd.,",My Hero Academia Collection,"en,ja,","JP,",0,,"japan,hero,teamwork,superhero,school,fighting,hostage situation,super power,shounen,anime,",26,11,"Kenji Nagasaki,"
The Meg,en,False,150000000,/rH79sB6Nkx4cMW3JzsUy7wK0rhX.jpg,http://www.themeg.movie,345940,tt4779682,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",130.059,/xqECHNvzbDL5I3iiOVUkVPJMSbc.jpg,2018-08-09,530243742,113,Released,Chomp On This,The Meg,False,6.1,4723,"Action,Science Fiction,Horror,","Apelles Entertainment,Gravity Pictures,Di Bonaventura Pictures,Flagship Entertainment Group,Maeday Productions,Warner Bros. Pictures,",The Meg Collection,"zh,en,ja,th,","CN,US,",3,"Well, when the credits started to roll I cannot say that I felt it had been a waste of time and money. I did indeed have some enjoyment watching this movie. However, it could have been a lot better.

For starters, what is the point of making a movie about a bloody “dinosaur shark” and aim for a PG-13 rating? Whoever made that incredibly stupid decision obviously missed the mark big time. I think this was the biggest fault with the movie. There were so many missed opportunities. The entire scene at the beach at the end of the movie was just wasted for example.

The script was of course somewhat illogical with holes in it large enough to drive a, well, a Megalodon through them. This however was something that I more or less expected given the kind of movie. First of all it is science fiction and fantasy after all and second, it appears that these kind of movies never seem to get anything better than mediocre script writers…at best.

There were some good things though. I have read the book and I didn’t really like it. In my review I gave it 2 out 5 five stars. The main reason for this was that the book was more of a bad soap opera than a horror/thriller. It was so filled with unlikable, scheming and backstabbing assholes that it was really not enjoyable. Jason’s ex wife was such a despicable bitch that she alone ruined the book for example.

Luckily the movie had toned down that aspect of the book quite a lot. Actually, in the end, there was really only one truly despicable asshole in the movie and he met with the fate that he deserved thanks to his own stupidity.

So, I did enjoy the movie and, as a science fiction and fantasy fan, I am glad to have watched it. I mean, a giant pre-historic shark on the big screen does have a certain cool-factor after all. It was somewhat saved by Jason Statham being in it though and it could have been a lot better.,Child friendly horror...

You have to take in to context the post release statements by director Jon Turteltaub and lead actor Jason Statham. The Meg is not the film they either read on the page or filmed as a course of grisly schlock entertainment. This was meant to be a proper schlocker, a bloodletting monster of the deep on the loose picture, sadly the suits at the helm didn't see that as a viable money making exercise and had this cut to be a ""12"" friendly bums on theatre seats cash grabber. Shame on them.

What we get is a run of the mill creature feature that although once viewed does not leave a lasting impression (was anyone really hoping for that anyway?), but is kind of fun in that time filling sort of way. It runs through the modern day creature feature playbook 101. So off we go with the hero having a troubled backstory, a money made funder out of his depth, ladies with life quandaries, a man who can't swim working in the middle of the ocean! and on we go. Throw in some quite awfully scripted dialogue and it's cheese sarnie time.

Statham is nearly always a good watch - in the muscle bound action hero kind of way - though you see the cracks between what the film was meant to be and what it ended up as. For you see that The Stath comes off as taking it all too seriously, which in this released cut is ridiculous. He's surrounded by no mark actors, though no short supply of beauty (Bingbing Li socko gorgeous/Ruby Rose hard sexy) and the narrative feeds us all the pointers of exactly where this will end up. There's a couple of nifty fun homages to Jaws, some decent suspense scenes, and the cinematography (Tom Stern) is pin sharp and pleasurable.

Best bet to enjoy this is to know it's a ""12"" rated friendly piece, to understand it has ultimately ended up as a same old same old monster movie. It's a million miles away from the class of Jaws, and lacks the tongue in cheek knowing of Deep Blue Sea, but it fills a gap in that undemanding time wasting way. 5/10,It's nice to see a Shark-led Creature Feature that's actually got some money behind it, but _The Meg_ is still really nothing special. 

_Final rating:★★½ - Had a lot that appealed to me, didn’t quite work as a whole._,","ocean,based on novel or book,beach,deep sea,shark,oceanic expedition,kaiju,submersible,under water,megalodon,extinct,underwater facility,mariana trench,",31,160,"Jon Turteltaub,"
Scooby-Doo! and the Gourmet Ghost,en,False,0,/jzgh4rnPyThuxurQmHMQuQkGuMI.jpg,,533592,tt8660492,"The Scooby gang visits a culinary resort run by Fred's uncle, Bobby Flay. While enjoying the sights, a ghost attacks the guests and destroys the resort, leaving the gang to put a stop to its threat.",58.727,/AtHngeqD4K1Oj01ulWc1aDJhU8H.jpg,2018-08-28,0,77,Released,,Scooby-Doo! and the Gourmet Ghost,False,7.8,69,"Animation,Adventure,Crime,Family,Comedy,","Warner Bros. Animation,",,"en,","US,",0,,"friendship,kids,",12,2,"Doug Murphy,"
The Little Mermaid,en,False,0,/je4MyG770NstNjluJpdJGLNsGm2.jpg,http://thelittlemermaid.tv,385448,tt5493944,A young reporter and his niece discover a beautiful and enchanting creature they believe to be the real little mermaid.,52.276,/7Ax9O1wlFL0Cjl8YLwuXDGthovf.jpg,2018-08-02,0,98,Released,A new twist on the classic tail,The Little Mermaid,False,5.0,686,"Adventure,Fantasy,Romance,Drama,Family,","Kingsway Productions,MVP Studios,Conglomerate Media,",,"en,","US,",0,,"witch,mississippi river,magic,fairy tale,mermaid,werewolf,",16,6,"Blake Harris,"
To All the Boys I've Loved Before,en,False,0,/hBHxBOGQBTMX3bDmqKoAgniZ9hE.jpg,https://www.netflix.com/title/80203147,466282,tt3846674,Lara Jean's love life goes from imaginary to out of control when her secret letters to every boy she's ever fallen for are mysteriously mailed out.,51.775,/hKHZhUbIyUAjcSrqJThFGYIR6kI.jpg,2018-08-16,0,100,Released,The Letters Are Out.,To All the Boys I've Loved Before,False,7.8,6674,"Comedy,Romance,","Awesomeness Films,Overbrook Entertainment,",To All the Boys Collection,"en,","US,",0,,"based on novel or book,high school,romance,first love,lost mother,woman director,young adult,sisterhood,pretend relationship,love letters,based on young adult novel,",24,140,"Susan Johnson,"
An Interview with God,en,False,0,/cwGjbWqsM48pwDnnoWE0xB7VKtN.jpg,https://aninterviewwithgod.com,534338,tt5779372,An up-and-coming journalist finds his world and faith increasingly challenged when he's granted the interview of a lifetime – with someone who claims to be God.,49.674,/d9TeB8VLCgwSph2OSYK3lcHGf1f.jpg,2018-08-20,0,97,Released,What would you ask?,An Interview with God,False,7.1,155,"Drama,Mystery,","Astute Films,Giving Films,Big Indie Pictures,",,"en,","US,",0,,"new york city,journalist,husband wife relationship,interview,god,intervention,troubled marriage,investigative journalist,celebrity interview,christian film,",7,13,"Perry Lang,"
Mile 22,en,False,35000000,/2nOMUnQ4OtsKVTmpp3og7MYt4oG.jpg,,347375,tt4560436,"An elite group of American operatives, aided by a top-secret tactical command team, must transport an asset who holds life-threatening information to an extraction point 22 miles away through the hostile streets of an Asian city.",57.602,/2L8ehd95eSW9x7KINYtZmRkAlrZ.jpg,2018-08-16,66308758,95,Released,Option 1: Diplomacy. Option 2: Military. Meet Option 3.,Mile 22,False,6.1,1485,"Action,Thriller,","STX Entertainment,Closest to the Hole Productions,Film 44,The Hideaway Entertainment,",,"id,en,ru,","CN,CO,US,",1,"Whenever Iko Uwais is on screen kickin' ass, Mile 22 has something to offer you. All other moments of the movie are skippable at best. 

_Final rating:★★ - Had some things that appeal to me, but a poor finished product._,","cia,martial arts,handheld camera,car chase,top secret,black ops,political corruption,intelligence officer,elite forces,tactical command unit,triple agent,",31,87,"Peter Berg,"
Alpha,en,False,51000000,/nKMeTdm72LQ756Eq20uTjF1zDXu.jpg,http://www.alpha-themovie.com,399360,tt4244998,"In the prehistoric past, Keda, a young and inexperienced hunter, struggles to return home after being separated from his tribe when bison hunting goes awry. On his way back he will find an unexpected ally.",66.031,/afdZAIcAQscziqVtsEoh2PwsYTW.jpg,2018-08-17,35808437,97,Released,Leaders are born from survival,Alpha,False,6.3,1796,"Adventure,Drama,","Studio 8,Columbia Pictures,Sony Pictures,",,"en,","US,",1,"Good shots, awful plot,","wolf,ice age,human animal relationship,wilderness,survival,snow,saber-toothed tiger,boy and dog,injury,prehistoric adventure,prehistory,bison,upper palaeolithic,boar,",17,161,"Albert Hughes,"
Skjelvet,no,False,6300000,/oqBTd53lYKJ63vbQpAxjDS6Pxvt.jpg,https://www.thequakemovie.com/,416194,tt6523720,"A geologist races against time to save his estranged wife and two children when a devastating earthquake strikes Oslo, Norway.",60.339,/jht2FrJLaRH1lpsRHCownjIcgcO.jpg,2018-08-31,0,106,Released,The Wave Was Only The Beginning,The Quake,False,6.8,377,"Action,Thriller,","Fantefilm,",Wave / Quake Collection,"no,","NO,",0,,"earthquake,geologist,catastrophe,disaster movie,oslo, norway,",12,10,"John Andreas Andersen,"
A-X-L,en,False,10000000,/l1nYo0yzKjf84atnBDbx0do16vQ.jpg,http://axlmovie.com,438590,tt5709188,The life of a teenage boy is forever altered by a chance encounter with cutting edge military technology.,46.797,/9kB56ZdMB6RgY5QtX9Bar45jCeI.jpg,2018-08-23,0,98,Released,Man's best friend has evolved,A-X-L,False,6.2,761,"Science Fiction,Action,Adventure,Family,","Lakeshore Entertainment,Global Road Entertainment,Phantom Four,",,"en,","US,",0,,"technology,friendship,friends,robot,robot dog,",31,40,"Oliver Daly,"
ちいさな英雄－カニとタマゴと透明人間－,ja,False,0,/doZDR89j4qSiVmkOioVvAXvLu91.jpg,https://gkids.com/films/modest-heroes-ponoc-short-films-theatre-vol-1/,514710,tt8223844,From director Hiromasa Yonebayashi: “Kanini & Kanino”; “Life Ain’t Gonna Lose” directed by Yoshiyuki Momose; and “Invisible” directed by Akihiko Yamashita. These leaders of animation draw tales of modest heroes of our times.,45.019,/5jURYLaG6BX0klRHsiHc3pzOlOm.jpg,2018-08-24,0,54,Released,,Modest Heroes,False,6.8,79,"Animation,Fantasy,Adventure,Drama,","Toho Company, Ltd.,STUDIO PONOC,DENTSU,Nippon Television Network Corporation,",,"ja,","JP,",0,,"anthology,anime,",7,13,"Akihiko Yamashita,"
肆式青春,zh,False,0,/iRB6VKJuFd88bk20hvLqlDzi4kP.jpg,https://shikioriori.jp,513347,tt8176578,"The rigorous city life of China, while bustling and unforgiving, contains the everlasting memories of days past. Three stories told in three different cities, follow the loss of youth and the daunting realization of adulthood.  Though reality may seem ever changing, unchangeable are the short-lived moments of one's childhood days. A plentiful bowl of noodles, the beauty of family and the trials of first love endure the inevitable flow of time, as three different characters explore the strength of bonds and the warmth of cherished memories. Within the disorder of the present world, witness these quaint stories recognize the comfort of the past, and attempt to revive the neglected flavors of youth.",43.802,/ueHeH5ergeHx27L4SCI9qlmwczA.jpg,2018-08-04,496334,74,Released,,Flavors of Youth,False,6.8,371,"Animation,Romance,Drama,","CoMix Wave Films,Haoliners Animation League,",,"cn,zh,","CN,JP,",0,,"daily life,friendship,anthology,coming of age,modern china,young love,anime,working life,",14,7,"Haoling Li,"
