original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,review_content,keywords,cast_size,crew_size,director
שאיפה לחיים,he,False,0,,,773526,,"Dov (75) a widower, lives in a nursing home where he feels like he’s in jail. He dreams of buying back his old house and returning live there, but he has has no money since losing his his pension and he blames the State. When he realizes that everyone in the nursing home consumes state-sponsored medical cannabis, he finds his way out. Not by smoking, but by selling cannabis, which he gets from the other tenants. When love, police, and the local mafia enter the picture, Dov finds himself at a crossroads where he has to decide whether he would be willing to risk everything for what really matters to him.",7.214,,2020-12-11,0,90.0,Released,,Greener Pastures,False,0.0,0,"Comedy,",,,,,0,,,7,0,"Diego Musiak,"
겨울밤에,ko,False,0,/6hhCB3c8wjaIR0X3gpJVbc4EvIM.jpg,http://eng.jiff.or.kr/program/program_view.asp?MI_IDX=3782&sec1=178&sec2=372,528161,tt9316658,The third film of Jang Woo-jin is a tapestry containing two stories: one is about a man and his wife wandering around Chuncheon and the other is about a soldier and a woman visiting him in the army.,7.187,/wiZHl1jSAAfjEsMlxLuMAI0eqPV.jpg,2020-12-10,0,98.0,Released,,Winter's Night,False,5.0,1,"Drama,","Jeonju International Film Festival,Bomnae Films,Indiestory,",,"ko,","KR,",0,,"winter,",6,6,"Jang Woo-jin,"
Про Лёлю и Миньку,ru,False,0,,,654319,tt11493106,"When the grown-up Minka goes to visit his sister Lyolya, now an adult woman with two children living in their childhood home, everything along the way reminds him of funny stories from the past. But he does not know that as a result of the pranks of her ""stuffed"" twins Petya and Fedya, Lyola is in serious trouble ...",7.18,/1nIrqrN5v5iIamlXMa9iGugvRhZ.jpg,2020-12-17,0,85.0,Released,,All About My Sister,False,0.0,0,"Family,","Studia 1A,",,"ru,","RU,",0,,,19,6,"Anna Tchernakova,"
Miracle on Highway 34,en,False,0,,,770499,tt10678722,A diverse set of characters find themselves together in a old diner in a small town on Christmas eve during a snow-storm. While a young expecting couple tries to make it home on a night that's anything but silent.,7.158,/fIH1jaCPTBpOt99a7hZjWpiWbpF.jpg,2020-12-01,0,71.0,Released,,Miracle on Highway 34,False,0.0,0,"Drama,Family,",,,"en,","US,",0,,,5,2,"Nathan Clarkson,"
Let's Meet Again on Christmas Eve,en,False,0,/gyoCJeZ316oeaIVvoLqz8wZp759.jpg,,744947,tt12843484,Two college sweethearts reconnect while coordinating a wedding just in time for the holidays.,7.124,/wYNdw7pM0srKzql7KNFbpgAs3QX.jpg,2020-12-05,0,80.0,Released,,Let's Meet Again on Christmas Eve,False,0.0,0,"Romance,TV Movie,","Julijette,",,"en,",,0,,"christmas,",10,2,"Jeff Beesley,"
El amor es más fácil,es,False,0,,,771168,,,7.121,/epkS2DzLL0mnMnbN1H0dbYbBuua.jpg,2020-12-10,0,77.0,Released,,El amor es más fácil,False,0.0,0,"Comedy,Romance,","Pensa&Rocca Cine,",,"es,","AR,",0,,,10,12,"Daniel Pensa,"
The Bloodhound,en,False,0,/dUqkd6fuCUVGekBffZiCUo4E22B.jpg,,548511,tt6920798,A visit to a wealthy and reclusive friend lands a young man in a world of fear and despair.,7.086,/sNot4c5dTY7L2Mc9Q3Nk1fbKdKT.jpg,2020-12-01,0,0.0,Released,,The Bloodhound,False,0.0,0,"Horror,Mystery,","Love & Death Productions,Pfaff & Pfaff Productions,",,"en,","US,",0,,,6,15,"Patrick Picard,"
스웨그,ko,False,0,/veOoyehctg0LAQabX9d2ZawHYvg.jpg,,766052,tt8562446,,7.083,/dYTrFEyIOv34p3DL7bz5BLOzVVX.jpg,2020-12-10,0,0.0,Released,,SWAG,False,0.0,0,"Drama,Music,","Only One Movie,",,"ko,","KR,",0,,"k-pop,",3,1,"Lim Seong-gwan,"
Bon Bini Judeska in da house,nl,False,0,/ctFHw4WPazsUJF7ltkJ7MLdAn2f.jpg,,765838,tt11177150,,7.001,/s7G3tT6IL6LaldyvqSsExN0gBcc.jpg,2020-12-10,0,0.0,Released,,Bon Bini Judeska in da house,False,0.0,0,"Comedy,","Kaap Holland Film,",Bon Bini Holland Collectie,"nl,","NL,",0,,,11,6,"Jonathan Herman,"
Bhoot Pori,en,False,0,,,716387,tt12526976,Upcoming Movie By Soukarya Ghosal,6.968,/jw3CJqUc4pQXrSorW3x9Tp7phq4.jpg,2020-12-19,0,0.0,In Production,,Bhoot Pori,False,0.0,0,"Horror,","Surinder Films,",,"bn,","IN,",0,,,5,3,"Soukarya Ghoshal,"
Mighty Express: A Mighty Christmas,en,False,0,/z3Y1u80O9WIZ6cwYUOICxJQdCth.jpg,,772732,tt13422586,The Mighty Express welcomes a new train and speeds into a snowstorm to deliver Santa’s presents and save Christmas for all the kids in Tracksville.,6.932,/7H6pEvFTSuW4UKnK9YxTwsVpoOw.jpg,2020-12-05,0,25.0,Released,,Mighty Express: A Mighty Christmas,False,0.0,0,"Animation,",,,"de,en,it,",,0,,,0,0,"Soukarya Ghoshal,"
Fantasma Magnético,pt,False,0,,,761560,,Magnetic Ghost - short film directed by Rafael Van Hayden. Currently in post-production.,6.922,,2020-12-09,0,8.0,Released,,Ghost Magnetic,False,6.0,1,"Horror,",,,"pt,","BR,",0,,,2,6,"Rafael Van Hayden,"
I Am the Vine...,en,False,0,,,761141,,"A young man wanting to make a name for himself sets out to track down a man with a friend in the hopes of a reward.  However, after prolonged searching, he is convinced the man he seeks does not exist.",6.837,,2020-12-10,0,3.0,Released,Can you hear him?,I Am the Vine...,False,0.0,0,"Drama,",,,"en,","AU,",0,,,2,7,"Abel Grisez,"
A Christmas for Mary,en,False,0,,,766982,tt13391592,"In search of a story, an up-and-coming journalist goes back to her home town and uncovers a forgotten tale of young love, inspiring her to follow her heart and find her own true love.",6.808,/ichK6ayParNu33TzoCcX2lgwRNM.jpg,2020-12-01,0,90.0,Released,,A Christmas for Mary,False,0.0,0,"Romance,","OWN Oprah Winfrey Network,Hybrid,",,"en,","US,",0,,,5,2,"David DeCoteau,"
